Pathway	GeneID	Symbol	Description	Drought_W24_log2FC	Drought_W24_padj	Drought_W8_log2FC	Drought_W8_padj	W24_vs_W8_Drought_log2FC	W24_vs_W8_Drought_padj	W24_vs_W8_Control_log2FC	W24_vs_W8_Control_padj
Photosynthesis	HORVU5Hr1G096830	HORVU5Hr1G096830	Mitotic checkpoint protein BUB3.3 [Source:Projected from Arabidopsis thaliana (AT1G69400) UniProtKB/Swiss-Prot;Acc:F4I241]	-0.7277	0.670681	-0.9001	0.748751	0	NA	-0.1724	0.910298
Sucrose	HORVU5Hr1G096870	HORVU5Hr1G096870	origin recognition complex protein 5 [Source:Projected from Arabidopsis thaliana (AT4G29910) TAIR;Acc:AT4G29910]	1.5245	0.355374	1.6008	0.748751	-0.0763	0.969609	0	NA
Glucosinolate	HORVU5Hr1G096930	HORVU5Hr1G096930		-0.2529	0.820318	0.3981	0.824186	-1.7743	0.495988	-1.1232	0.279958
Glucosinolate	HORVU5Hr1G096940	HORVU5Hr1G096940		-1.0913	0.498355	-0.231	0.748751	-1.6668	0.276517	-0.8065	0.26747
Glucosinolate	HORVU5Hr1G096950	HORVU5Hr1G096950		-1.3297	0.431802	-0.2164	0.748751	-1.9522	0.311451	-0.8389	0.169692
Glucosinolate	HORVU5Hr1G096970	HORVU5Hr1G096970		-0.9252	0.493242	-0.2483	0.748751	-0.8565	0.413505	-0.1797	0.695986
Cytokinin	HORVU5Hr1G097000	HORVU5Hr1G097000	TIP41-like protein [Source:Projected from Arabidopsis thaliana (AT4G34270) UniProtKB/Swiss-Prot;Acc:Q8VXY4]	-0.329	0.440483	-0.198	0.757449	0.0307	0.940215	0.1617	0.571011
Protein_Kinase_Signalling	HORVU5Hr1G097010	HORVU5Hr1G097010		-0.2845	0.670681	-0.406	0.748751	1.1086	0.427699	0.9872	0.192266
Glycine	HORVU5Hr1G097020	HORVU5Hr1G097020		1.0303	0.446374	0.5543	0.748751	-0.0635	0.884415	-0.5394	0.466232
Serine	HORVU5Hr1G097060	HORVU5Hr1G097060		0.7154	0.350106	0.5182	0.748751	-1.1499	0.362767	-1.3471	0.088284
Cytokinin	HORVU5Hr1G097070	HORVU5Hr1G097070		0.8543	0.668289	0.9157	0.871162	-1.1603	0.755497	-1.099	0.628396
Methionine	HORVU5Hr1G097100	HORVU5Hr1G097100		-0.2071	0.670752	-0.2748	0.748751	-0.0037	0.991642	-0.0714	0.877216
ROS_Scavenging	HORVU5Hr1G097130	HORVU5Hr1G097130	Peroxidase [Source:UniProtKB/TrEMBL;Acc:F2DFU9]	-0.4989	0.833141	-1.7862	0.748751	-0.2195	0.924781	-1.5068	0.299742
ABA	HORVU5Hr1G097140	HORVU5Hr1G097140	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2E9G2]	-0.2027	0.567064	0.1863	0.748751	-0.4011	0.446606	-0.0121	0.957592
Serine	HORVU5Hr1G097150	HORVU5Hr1G097150		1.5786	0.633968	2.0588	0.748751	-1.2312	0.663614	-0.7511	0.55063
Cytokinin	HORVU5Hr1G097200	HORVU5Hr1G097200		0.2177	0.79888	0.1184	0.952748	0.4602	0.667394	0.3609	0.580581
Proline	HORVU5Hr1G097220	HORVU5Hr1G097220		0.1596	0.833532	0.5747	0.748751	-0.8563	0.402711	-0.4411	0.368978
Lignin	HORVU5Hr1G097230	HORVU5Hr1G097230	Similar to Protein kinase CK2, alpha subunit [Source: Projected from Oryza sativa (Os03g0762000)]	-0.1801	0.453002	0.0737	0.82793	0.1225	0.489579	0.3763	0.253427
ROS_Scavenging	HORVU5Hr1G097260	HORVU5Hr1G097260	Peroxidase [Source:UniProtKB/TrEMBL;Acc:M0X820]	1.3342	0.440096	2.8125	0.748751	-2.4516	0.558602	-0.9733	0.393529
ROS_Scavenging	HORVU5Hr1G097270	HORVU5Hr1G097270	Peroxidase [Source:UniProtKB/TrEMBL;Acc:A0A287SFF2]	-0.8714	0.410876	2.2071	0.748751	-4.0384	0.499628	-0.9599	0.489266
Cytokinin	HORVU5Hr1G097290	HORVU5Hr1G097290		0	NA	0.7882	0.748751	-0.7882	0.606531	0	NA
Lignin	HORVU5Hr1G097400	HORVU5Hr1G097400		-0.1139	0.670681	-0.0148	0.969019	-0.0917	0.637664	0.0074	0.975198
Transcription	HORVU5Hr1G097500	HORVU5Hr1G097500		-0.741	0.589865	1.3784	0.748751	-3.0816	0.34508	-0.9622	0.337186
Transcription	HORVU5Hr1G097560	HORVU5Hr1G097560		-0.0131	0.988711	0.3512	0.748751	-0.3876	0.532058	-0.0234	0.973235
Cytokinin	HORVU5Hr1G097590	HORVU5Hr1G097590		-0.2085	0.410373	-0.0658	0.825485	-0.0118	0.949518	0.1309	0.408326
ABA	HORVU5Hr1G097630	HORVU5Hr1G097630	Serine/threonine protein kinase, Abscisic acid (ABA)-activated protein kinase, Hyperosmotic stress response, ABA signal transductio [Source: Projected from Oryza sativa (Os03g0764800)]	-0.0434	0.726038	-0.093	0.748751	-0.0238	0.825099	-0.0733	0.485773
Serine	HORVU5Hr1G097650	HORVU5Hr1G097650		-0.1158	0.670681	-0.1254	0.748751	-0.281	0.425714	-0.2907	0.189445
Serine	HORVU5Hr1G097710	HORVU5Hr1G097710		0.1137	0.670681	0.3116	0.748751	-0.3029	0.474067	-0.105	0.691749
Transcription	HORVU5Hr1G097760	HORVU5Hr1G097760		-0.3336	0.874376	0	NA	1.2507	0.606531	1.5844	0.458978
Folate	HORVU5Hr1G097800	HORVU5Hr1G097800		0.1009	0.589865	0.1291	0.806983	0.3784	0.356998	0.4066	0.299955
Cytokinin	HORVU5Hr1G097860	HORVU5Hr1G097860		0.0868	0.830635	-0.4873	0.748751	-0.6063	0.425483	-1.1804	0.192266
Cytokinin	HORVU5Hr1G097870	HORVU5Hr1G097870	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2D3F3]	0.6902	0.636467	0.1669	0.801568	-0.2636	0.683159	-0.787	0.286757
Photosynthesis	HORVU5Hr1G098000	HORVU5Hr1G098000	Thioredoxin-like protein HCF164, chloroplastic [Source:Projected from Arabidopsis thaliana (AT4G37200) UniProtKB/Swiss-Prot;Acc:O23166]	-0.1211	0.670681	-0.0851	0.883576	-0.2662	0.606531	-0.2302	0.184278
Ubiquitin_Proteasome	HORVU5Hr1G098040	HORVU5Hr1G098040	Proteasome assembly chaperone 2 [Source:UniProtKB/TrEMBL;Acc:M0V026]	-0.1017	0.670681	-0.3098	0.748751	-0.0737	0.549719	-0.2817	0.255949
Jasmonate_JA	HORVU5Hr1G098090	HORVU5Hr1G098090	Allene oxide synthase, chloroplastic [Source:Projected from Arabidopsis thaliana (AT5G42650) UniProtKB/Swiss-Prot;Acc:Q96242]	0.0079	0.973772	1.4576	0.748751	-2.1417	0.358985	-0.6919	0.199216
Tryptophan	HORVU5Hr1G098150	HORVU5Hr1G098150		0	NA	0.6242	0.748751	-0.6242	0.606531	0	NA
Ubiquitin_Proteasome	HORVU5Hr1G098170	HORVU5Hr1G098170		0.2468	0.81454	1.3567	0.748751	-0.5937	0.508321	0.5162	0.72662
Ubiquitin_Proteasome	HORVU5Hr1G098180	HORVU5Hr1G098180		5.0541	0.670681	-7.0772	0.748751	5.0541	0.606531	-7.0772	0.43427
ABA	HORVU5Hr1G098190	HORVU5Hr1G098190		0.5529	0.457994	0.6399	0.748751	-0.1202	0.817502	-0.0332	0.9481
Cytokinin	HORVU5Hr1G098220	HORVU5Hr1G098220	CASP-like protein [Source:UniProtKB/TrEMBL;Acc:M0YC75]	0.3061	0.590023	0.9873	0.748751	-1.5795	0.391611	-0.8984	0.249665
Ubiquitin_Proteasome	HORVU5Hr1G098300	HORVU5Hr1G098300	Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2EFJ8]	-0.0627	0.670681	0.0454	0.938222	-0.3263	0.495243	-0.2182	0.505109
Cytokinin	HORVU5Hr1G098310	HORVU5Hr1G098310		0.717	0.564935	-1.3911	0.748751	1.0335	0.356735	-1.0747	0.510565
Photosynthesis	HORVU5Hr1G098340	HORVU5Hr1G098340	30S ribosomal protein S9, chloroplastic [Source:Projected from Arabidopsis thaliana (AT1G74970) UniProtKB/Swiss-Prot;Acc:Q9XJ27]	0.5857	0.447982	0.0104	0.990676	-0.3005	0.606531	-0.8757	0.203108
Jasmonate_JA	HORVU5Hr1G098410	HORVU5Hr1G098410		0.1647	0.594716	0.1061	0.773885	0.3215	0.313812	0.2629	0.40564
Glucosinolate	HORVU5Hr1G098450	HORVU5Hr1G098450		0	NA	0.6295	0.748751	-0.6295	0.606531	0	NA
Flavonoid	HORVU5Hr1G098470	HORVU5Hr1G098470		-0.0363	0.98947	-0.0857	0.984179	-0.9754	0.606531	-1.0248	0.731006
Cellulose	HORVU5Hr1G098490	HORVU5Hr1G098490		0.1397	0.498485	0.6651	0.748751	-0.9718	0.299709	-0.4464	0.133648
Salicylate_SA	HORVU5Hr1G098540	HORVU5Hr1G098540		1.0046	0.670681	0	NA	1.0046	0.606531	0	NA
ROS_Scavenging	HORVU5Hr1G098630	HORVU5Hr1G098630	Peroxidase [Source:UniProtKB/TrEMBL;Acc:A0A287SGI8]	-0.7319	0.670681	1.2261	0.834043	-3.193	0.606531	-1.2349	0.667922
Salicylate_SA	HORVU5Hr1G098640	HORVU5Hr1G098640		-0.8841	0.639424	0.4135	0.883267	-1.2965	0.606531	0.0012	0.999283
Cellulose	HORVU5Hr1G098710	HORVU5Hr1G098710	Endoglucanase [Source:UniProtKB/TrEMBL;Acc:A0A287SGI6]	0.43	0.793553	2.081	0.748751	-1.8491	0.426607	-0.1981	0.824979
Cytokinin	HORVU5Hr1G098720	HORVU5Hr1G098720		-0.0552	0.87901	0.5411	0.748751	-0.5854	0.355927	0.011	0.966382
Flavonoid	HORVU5Hr1G098770	HORVU5Hr1G098770		0.6634	0.476192	1.4462	0.748751	-0.4828	0.665931	0.3001	0.58482
