Pathway	GeneID	Symbol	Description	Drought_W24_log2FC	Drought_W24_padj	Drought_W8_log2FC	Drought_W8_padj	W24_vs_W8_Drought_log2FC	W24_vs_W8_Drought_padj	W24_vs_W8_Control_log2FC	W24_vs_W8_Control_padj
Photosynthesis	AGP50735	psbA	photosystem II protein D1	-0.6283	0.661923	0.4489	0.837875	-0.5052	0.730188	0.572	0.507266
Translation	AGP50737	rps16	ribosomal protein S16	-0.4834	0.670681	-0.412	0.748751	0.6133	0.50842	0.6847	0.482366
Photosynthesis	AGP50738	psbK	photosystem II protein K	-0.1171	0.87838	0.4745	0.748751	-0.3031	0.54837	0.2885	0.634154
Photosynthesis	AGP50739	psbI	photosystem II protein I	1.0469	0.573091	0.3217	0.930234	0.2831	0.825037	-0.4421	0.846101
Photosynthesis	AGP50740	psbD	photosystem II protein D2	-0.8543	0.616184	-0.0433	0.967867	0.1297	0.834753	0.9408	0.458192
Jasmonate_JA	AGP50741	psbC	photosystem II CP43 chlorophyll apoprotein	-0.8865	0.613338	-0.0441	0.975526	0.4739	0.605082	1.3163	0.400318
Photosynthesis	AGP50742	psbZ	photosystem II protein Z	-0.8347	0.574748	0.5608	0.748751	0.0642	0.957938	1.4598	0.209284
Photosynthesis	AGP50743	psbM	photosystem II protein M	-0.4132	0.589865	-0.3151	0.748751	0.0371	0.909778	0.1352	0.729972
ABA	AGP50745	rpoB	RNA polymerase beta subunit	-0.2883	0.670681	0.4322	0.748751	-0.3444	0.586854	0.3761	0.532766
ABA	AGP50746	rpoC1	RNA polymerase beta	-0.703	0.670681	0.5017	0.748751	-0.9898	0.496118	0.2149	0.79268
ABA	AGP50747	rpoC2	RNA polymerase beta' subunit	-0.5585	0.635913	0.3075	0.748751	-0.5922	0.359447	0.2738	0.660872
Translation	AGP50748	rps2	ribosomal protein S2	0.8083	0.57618	1.2293	0.748751	-0.1443	0.911939	0.2767	0.782358
Translation	AGP50753	rps14	ribosomal protein S14	-0.7561	0.670681	-0.3008	0.815001	0.5751	0.581461	1.0304	0.538163
Jasmonate_JA	AGP50754	psaB	photosystem I P700 apoprotein A2	-1.0226	0.612735	0.3153	0.848313	-0.211	0.83942	1.1269	0.45818
Jasmonate_JA	AGP50755	psaA	photosystem I P700 apoprotein A1	-1.2465	0.589865	0.2992	0.859388	-0.421	0.70415	1.1248	0.449346
Photosynthesis	AGP50756	ycf3	hypothetical chloroplast RF34	0.3604	0.670681	0.2922	0.84104	0.342	0.705615	0.2739	0.518162
Translation	AGP50757	rps4	ribosomal protein S4	-0.5248	0.648907	0.4585	0.748751	-0.9746	0.479677	0.0087	0.984275
Photosynthesis	AGP50758	ndhJ	NADH-plastoquinone oxidoreductase subunit J	-0.1744	0.8091	-0.494	0.770538	0.9839	0.440072	0.6642	0.432052
Photosynthesis	AGP50759	ndhK	NADH-plastoquinone oxidoreductase subunit K	-0.1472	0.846727	-0.2576	0.765821	0.3796	0.52929	0.2692	0.663621
Photosynthesis	AGP50760	ndhC	NADH-plastoquinone oxidoreductase subunit 3	-0.2656	0.670681	-0.1736	0.804105	-0.2281	0.662499	-0.136	0.72861
Photosynthesis	AGP50761	atpE	ATP synthase CF1 epsilon subunit	-0.1824	0.795722	0.6702	0.757123	-0.4656	0.711039	0.387	0.455073
Photosynthesis	AGP50764	psaI	photosystem I subunit VIII	0.2361	0.753181	1.0978	0.748751	0.0388	0.941774	0.9006	0.4225
Photosynthesis	AGP50765	ycf4	photosystem I assembly protein Ycf4	-0.4462	0.670681	0.531	0.812217	-0.2338	0.844857	0.7434	0.518352
Photosynthesis	AGP50768	psbJ	photosystem II protein J	-0.8273	0.65129	0.7439	0.748751	-1.1484	0.568473	0.4228	0.651762
Photosynthesis	AGP50769	psbL	photosystem II protein L	0.0406	0.977607	1.3635	0.748751	-0.1274	0.944147	1.1955	0.325712
Photosynthesis	AGP50770	psbF	photosystem II cytochrome b559 beta subunit	0.5059	0.709998	0.3623	0.865741	0.5196	0.703169	0.3761	0.193827
Photosynthesis	AGP50771	psbE	photosystem II cytochrome b559 alpha subunit	-0.5208	0.670681	0.5311	0.810253	-0.4046	0.77623	0.6473	0.289258
Photosynthesis	AGP50774	psaJ	photosystem I subunit IX	-0.3415	0.778568	0.1133	0.966611	0.3297	0.813577	0.7845	0.525451
Translation	AGP50775	rpl33	ribosomal protein L33	-0.5604	0.670681	0.5928	0.748751	0.0129	0.988905	1.166	0.409906
Translation	AGP50776	rps18	ribosomal protein S18	-0.5349	0.649786	0.3991	0.748751	-0.4547	0.481852	0.4793	0.558025
Translation	AGP50777	rpl20	ribosomal protein L20	-0.62	0.670681	-0.7699	0.748751	0.0814	0.892281	-0.0685	0.946682
Photosynthesis	AGP50780	psbB	photosystem II 47 kDa protein	-0.4269	0.69529	0.0499	0.963992	0.1851	0.763235	0.662	0.549663
Photosynthesis	AGP50781	psbT	photosystem II protein T	-0.8505	0.431972	0.1753	0.84061	-0.3184	0.508182	0.7073	0.319466
Photosynthesis	AGP50782	psbN	photosystem II protein N	-0.6213	0.670681	0.2588	0.814164	-0.8681	0.499628	0.0121	0.988586
Jasmonate_JA	AGP50783	psbH	photosystem II phosphoprotein	-0.6805	0.478418	-0.0878	0.944853	-0.3049	0.687347	0.2878	0.58482
ABA	AGP50786	rpoA	RNA polymerase alpha subunit	0.3771	0.680912	0.6735	0.748751	0.0351	0.96152	0.3315	0.703958
Translation	AGP50787	rps11	ribosomal protein S11	-0.3207	0.759482	-0.4258	0.789391	0.0637	0.965591	-0.0414	0.886152
Translation	AGP50788	rpl36	ribosomal protein L36	-0.0717	0.965809	0.3022	0.860875	-0.7484	0.598953	-0.3745	0.740165
Translation	AGP50790	rps8	ribosomal protein S8	0.0296	0.976939	0.3104	0.748751	-0.6472	0.489795	-0.3664	0.516181
Translation	AGP50791	rpl14	ribosomal protein L14	-0.147	0.858408	0.5102	0.749373	-1.0494	0.519827	-0.3922	0.496363
Translation	AGP50792	rpl16	ribosomal protein L16	0.0246	0.973772	-0.2676	0.855396	0.5025	0.575553	0.2102	0.760706
Translation	AGP50793	rps3	ribosomal protein S3	0.0398	0.968107	0.5325	0.748751	0.096	0.911515	0.5887	0.317546
Translation	AGP50794	rpl22	ribosomal protein L22	0.0748	0.905035	0.6318	0.748751	-0.6032	0.501631	-0.0461	0.960937
Translation	AGP50795	rps19	ribosomal protein S19	-0.4375	0.754521	0.6957	0.748751	-0.2466	0.840329	0.8865	0.378312
Translation	AGP50796	rpl23	ribosomal protein L23	-1.5268	0.589865	0.0629	0.986904	-0.2672	0.885421	1.3224	0.476045
Photosynthesis	AGP50798	ndhB	NADH-plastoquinone oxidoreductase subunit 2	-0.4634	0.631446	-0.0735	0.941438	0.483	0.498068	0.8729	0.334648
Translation	AGP50799	rps7	ribosomal protein S7	-0.2508	0.801259	0.01	0.990604	-0.1447	0.813577	0.1161	0.86319
Translation	AGP50800	rps15	ribosomal protein S15	0.5887	0.628768	-0.7628	0.785488	0.6383	0.55135	-0.7132	0.652014
Photosynthesis	AGP50802	ndhF	NADH-plastoquinone oxidoreductase subunit 5	-0.4661	0.670681	-0.0605	0.958416	0.2081	0.756291	0.6137	0.525553
Translation	AGP50803	rpl32	ribosomal protein L32	-0.6418	0.589865	0.1799	0.864666	-0.6972	0.459582	0.1245	0.854345
Photosynthesis	AGP50805	ndhD	NADH-plastoquinone oxidoreductase subunit 4	-0.4477	0.670681	-0.3351	0.812821	0.4669	0.606531	0.5796	0.511237
Photosynthesis	AGP50806	psaC	photosystem I subunit VII	-0.4725	0.670681	-0.0369	0.966969	-0.2065	0.747009	0.2291	0.715026
Photosynthesis	AGP50807	ndhE	NADH-plastoquinone oxidoreductase subunit 4L	-0.8533	0.611474	0.9179	0.748751	-0.6869	0.606531	1.0843	0.421654
Photosynthesis	AGP50808	ndhG	NADH-plastoquinone oxidoreductase subunit 6	-0.7999	0.670681	0.7734	0.748751	-0.8393	0.585469	0.734	0.58482
Photosynthesis	AGP50809	ndhI	NADH-plastoquinone oxidoreductase subunit I	-0.1354	0.90664	0.8816	0.748751	-0.8018	0.523269	0.2152	0.730353
Photosynthesis	AGP50810	ndhA	NADH-plastoquinone oxidoreductase subunit 1	-1.0217	0.516938	2.1062	0.748751	-1.5977	0.507796	1.5301	0.252029
ROS_Scavenging	ENSRNA049460671	Intron_gpII	Group II catalytic intron	0.0525	0.969785	-0.4012	0.748751	0.2788	0.615667	-0.1748	0.847586
ROS_Scavenging	ENSRNA049460699	Intron_gpII	Group II catalytic intron	-1.4103	0.758194	-1.3364	0.748751	0.2474	0.896169	0.3213	0.905011
ROS_Scavenging	ENSRNA049460726	Intron_gpII	Group II catalytic intron	-1.2741	0.416664	0.2219	0.921822	-0.5573	0.69652	0.9387	0.287849
ROS_Scavenging	ENSRNA049460737	Intron_gpII	Group II catalytic intron	-0.8514	0.670681	0.1677	0.918415	0.0479	0.968028	1.067	0.521894
ROS_Scavenging	ENSRNA049460827	Intron_gpII	Group II catalytic intron	0.8205	0.599911	-0.2883	0.898517	-0.1621	0.853158	-1.2709	0.53777
ROS_Scavenging	ENSRNA049460880	Intron_gpII	Group II catalytic intron	-0.4789	0.670681	0.0245	0.957043	-0.7023	0.288819	-0.1988	0.728751
ROS_Scavenging	ENSRNA049460889	Intron_gpII	Group II catalytic intron	-0.5974	0.603815	0.2674	0.748751	-1.0584	0.327687	-0.1936	0.739549
ROS_Scavenging	ENSRNA049460904	Intron_gpII	Group II catalytic intron	-0.3481	0.549048	-0.0012	0.997778	-0.6663	0.302767	-0.3193	0.43229
ROS_Scavenging	ENSRNA049464337	Intron_gpI	Group I catalytic intron	0.5248	0.780827	0.6236	0.823973	-0.0686	0.965918	0.0302	0.98793
ROS_Scavenging	ENSRNA049464350	Intron_gpI	Group I catalytic intron	0.6235	0.694859	-0.8857	0.748751	-0.3263	0.806942	-1.8354	0.323319
Cytokinin	ENSRNA049467418	SSU_rRNA_eukarya	Eukaryotic small subunit ribosomal RNA	-1.0684	0.670681	0.1294	0.95586	-0.8365	0.554544	0.3614	0.806091
Cytokinin	ENSRNA049467483	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	-1.7772	0.594261	1.5729	0.748751	-2.1336	0.427592	1.2165	0.514226
Cytokinin	ENSRNA049467512	SSU_rRNA_eukarya	Eukaryotic small subunit ribosomal RNA	-1.2974	0.589865	0.9573	0.748751	-1.5367	0.44119	0.718	0.551254
Cytokinin	ENSRNA049468485	SSU_rRNA_eukarya	Eukaryotic small subunit ribosomal RNA	-1.8312	0.635127	1.2028	0.748751	-1.1434	0.539679	1.8906	0.495954
Cytokinin	ENSRNA049468496	SSU_rRNA_eukarya	Eukaryotic small subunit ribosomal RNA	-1.446	0.477876	0.8076	0.748751	-1.4245	0.356142	0.8291	0.39723
ROS_Scavenging	ENSRNA049469262	Intron_gpII	Group II catalytic intron	0.0163	0.985779	0.2969	0.795527	-0.2808	0.713039	-2e-04	0.999774
ROS_Scavenging	ENSRNA049469264	Intron_gpII	Group II catalytic intron	-0.0559	0.948517	0.4572	0.748751	-0.7487	0.406555	-0.2357	0.598149
ROS_Scavenging	ENSRNA049469270	Intron_gpII	Group II catalytic intron	0.6955	0.703144	1.3199	0.748751	0.1547	0.917138	0.7791	0.586146
ROS_Scavenging	ENSRNA049469273	Intron_gpII	Group II catalytic intron	-0.8285	0.589865	-0.4426	0.748751	0.1548	0.840436	0.5407	0.543467
ROS_Scavenging	ENSRNA049469281	Intron_gpII	Group II catalytic intron	-1.0779	0.602059	-1.125	0.748751	1.2787	0.358985	1.2316	0.437634
ROS_Scavenging	ENSRNA049469288	Intron_gpII	Group II catalytic intron	1.0969	0.670681	0.212	0.902313	-0.4333	0.707036	-1.3182	0.540558
ROS_Scavenging	ENSRNA049469295	Intron_gpII	Group II catalytic intron	1.0808	0.618868	0.4415	0.748751	-1.0341	0.462431	-1.6734	0.33191
ROS_Scavenging	ENSRNA049469303	Intron_gpII	Group II catalytic intron	-0.626	0.574814	-0.1401	0.807153	-0.7773	0.377438	-0.2914	0.559504
ROS_Scavenging	ENSRNA049469663	Intron_gpI	Group I catalytic intron	0.5783	0.851141	0.0052	0.997778	0.2632	0.909649	-0.3098	0.78985
Cytokinin	ENSRNA049470445	SSU_rRNA_eukarya	Eukaryotic small subunit ribosomal RNA	-0.7759	0.670681	0.8386	0.748751	-1.1771	0.498743	0.4373	0.632396
Cytokinin	ENSRNA049471275	SSU_rRNA_eukarya	Eukaryotic small subunit ribosomal RNA	-1.3056	0.556124	0.8331	0.748751	-1.2338	0.460549	0.905	0.457984
ROS_Scavenging	ENSRNA049471744	Intron_gpII	Group II catalytic intron	0.1417	0.904042	0.1795	0.776269	-0.1456	0.851687	-0.1077	0.848555
ROS_Scavenging	ENSRNA049471749	Intron_gpII	Group II catalytic intron	-0.5408	0.589865	-0.2233	0.870787	-0.7007	0.597655	-0.3832	0.583189
ROS_Scavenging	ENSRNA049471754	Intron_gpII	Group II catalytic intron	-0.6862	0.847332	0.3658	0.881108	-0.0919	0.953044	0.96	0.739772
ROS_Scavenging	ENSRNA049471760	Intron_gpII	Group II catalytic intron	-0.0727	0.970705	0.1474	0.951603	0.3817	0.693438	0.6018	0.727396
ROS_Scavenging	ENSRNA049471765	Intron_gpII	Group II catalytic intron	0.2208	0.946065	-0.1739	0.924578	0.8283	0.686599	0.4336	0.858588
ROS_Scavenging	ENSRNA049471771	Intron_gpII	Group II catalytic intron	-1.0483	0.618204	0.2003	0.874748	-0.1599	0.895805	1.0887	0.458785
ROS_Scavenging	ENSRNA049471780	Intron_gpII	Group II catalytic intron	-0.79	0.670681	0.2991	0.77013	-0.1918	0.801818	0.8973	0.555601
ROS_Scavenging	ENSRNA049471785	Intron_gpII	Group II catalytic intron	0.4878	0.670681	0.3301	0.808895	-0.3325	0.689096	-0.4901	0.594053
ROS_Scavenging	ENSRNA049471795	Intron_gpII	Group II catalytic intron	0.092	0.971072	-0.662	0.748751	-0.5648	0.642305	-1.3189	0.463864
ROS_Scavenging	ENSRNA049471806	Intron_gpII	Group II catalytic intron	-0.4751	0.590015	-0.0305	0.956504	-0.7421	0.302899	-0.2975	0.5548
ROS_Scavenging	ENSRNA049471812	Intron_gpII	Group II catalytic intron	-0.4289	0.655438	-0.0356	0.924641	-0.6725	0.276517	-0.2791	0.58482
ROS_Scavenging	ENSRNA049471817	Intron_gpII	Group II catalytic intron	-0.4344	0.670681	-0.13	0.810012	-0.6577	0.26995	-0.3533	0.58482
ROS_Scavenging	ENSRNA049471862	Intron_gpI	Group I catalytic intron	0.3511	0.713984	-1.7285	0.748751	1.0941	0.447514	-0.9855	0.401632
ROS_Scavenging	ENSRNA049471874	Intron_gpI	Group I catalytic intron	-0.2699	0.890269	-1.0592	0.748751	0.4776	0.757277	-0.3117	0.809977
Strigolactone	ENSRNA049472839	SNORD14	Small nucleolar RNA SNORD14	-3.1606	0.670681	0	NA	0	NA	3.1606	0.58482
ROS_Scavenging	ENSRNA049472917	Intron_gpII	Group II catalytic intron	0.2226	0.846856	0.485	0.748751	-0.4516	0.606531	-0.1891	0.858788
ROS_Scavenging	ENSRNA049472925	Intron_gpII	Group II catalytic intron	-1.1375	0.589865	-0.8175	0.748751	0.259	0.784677	0.579	0.58482
ROS_Scavenging	ENSRNA049472930	Intron_gpII	Group II catalytic intron	0.7568	0.716905	-0.4384	0.896352	-0.1306	0.950811	-1.3258	0.58482
ROS_Scavenging	ENSRNA049472949	Intron_gpII	Group II catalytic intron	-0.6875	0.518727	-0.007	0.991987	-0.8115	0.260684	-0.1311	0.787631
ROS_Scavenging	ENSRNA049472959	Intron_gpII	Group II catalytic intron	0	NA	1.2037	0.748751	-1.2037	0.606531	0	NA
ROS_Scavenging	ENSRNA049472978	Intron_gpI	Group I catalytic intron	-0.7625	0.794776	-1.7354	0.748751	-0.0531	0.974089	-1.0259	0.58482
ROS_Scavenging	ENSRNA049473450	Intron_gpII	Group II catalytic intron	-0.1433	0.850377	0.4146	0.810784	-0.9546	0.56405	-0.3967	0.541958
ROS_Scavenging	ENSRNA049473460	Intron_gpII	Group II catalytic intron	-0.0427	0.986999	-2.8153	0.748751	1.9373	0.587256	-0.8353	0.692103
ROS_Scavenging	ENSRNA049473468	Intron_gpII	Group II catalytic intron	-0.3699	0.559113	0.017	0.979071	-0.4899	0.39847	-0.1029	0.780333
ROS_Scavenging	ENSRNA049473475	Intron_gpII	Group II catalytic intron	0.7212	0.633968	-0.3669	0.884298	0.211	0.8683	-0.877	0.58482
ROS_Scavenging	ENSRNA049473488	Intron_gpI	Group I catalytic intron	-1.6358	0.382536	-1.3745	0.748751	-0.2862	0.606531	-0.025	0.980554
ROS_Scavenging	ENSRNA049473562	Intron_gpI	Group I catalytic intron	-0.0378	0.979536	-0.0851	0.95646	0.1133	0.908118	0.0661	0.950566
Cytokinin	ENSRNA049473629	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	0	NA	0.6072	0.748751	-0.6072	0.606531	0	NA
Cytokinin	ENSRNA049473636	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	3.3671	0.670681	5.9192	0.748751	-2.5521	0.606531	0	NA
Cytokinin	ENSRNA049477378	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	-2.0863	0.589865	1.3513	0.748751	-2.1989	0.447514	1.2387	0.518352
Cytokinin	ENSRNA049477382	SSU_rRNA_eukarya	Eukaryotic small subunit ribosomal RNA	2.209	0.670681	1.4295	0.748751	-1.2963	0.606531	-2.0757	0.58482
ROS_Scavenging	ENSRNA049477448	Intron_gpII	Group II catalytic intron	-0.8054	0.582539	-0.1502	0.82367	-1.0314	0.34508	-0.3762	0.555391
ROS_Scavenging	ENSRNA049477524	Intron_gpII	Group II catalytic intron	0.0552	0.967715	0.0521	0.979248	-1.6555	0.525086	-1.6586	0.220055
ROS_Scavenging	ENSRNA049477530	Intron_gpII	Group II catalytic intron	0.1599	0.941928	-0.3139	0.908692	0.7481	0.666531	0.2743	0.865383
ROS_Scavenging	ENSRNA049477532	Intron_gpII	Group II catalytic intron	-0.2852	0.899736	0.2642	0.890934	-1.3349	0.443229	-0.7855	0.623595
ROS_Scavenging	ENSRNA049477545	Intron_gpI	Group I catalytic intron	0	NA	-0.2783	0.916086	-0.6601	0.606531	-0.9383	0.58482
Cytokinin	ENSRNA049478790	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	-2.1071	0.593784	1.4829	0.748751	-2.4087	0.45269	1.1813	0.541322
Cytokinin	ENSRNA049478802	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	-2.1489	0.592642	1.5076	0.748751	-2.3636	0.459582	1.2929	0.521801
Cytokinin	ENSRNA049478805	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	-2.0293	0.589865	1.4279	0.748751	-2.2326	0.444628	1.2246	0.519286
Cytokinin	ENSRNA049478808	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	-2.0803	0.59496	1.5182	0.748751	-2.4139	0.453937	1.1847	0.541583
Cytokinin	ENSRNA049478811	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	-2.0015	0.591269	1.4424	0.748751	-2.2986	0.446183	1.1453	0.534802
Cytokinin	ENSRNA049478817	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	-1.9879	0.592174	1.4474	0.748751	-2.2943	0.449394	1.141	0.535993
Cytokinin	ENSRNA049478925	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	-1.9888	0.589865	1.4078	0.748751	-2.3605	0.44026	1.036	0.547388
Cytokinin	ENSRNA049479294	SSU_rRNA_eukarya	Eukaryotic small subunit ribosomal RNA	-1.637	0.565025	0.5178	0.748751	-1.1593	0.451926	0.9954	0.484371
ROS_Scavenging	ENSRNA049479352	Intron_gpII	Group II catalytic intron	-1.277	0.670681	1.9184	0.748751	-0.7927	0.614999	2.4027	0.476309
ROS_Scavenging	ENSRNA049479844	Intron_gpII	Group II catalytic intron	-0.395	0.638268	-0.0924	0.907233	-0.726	0.37414	-0.4233	0.508303
Cytokinin	ENSRNA049479869	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	-2.0151	0.592642	1.4246	0.748751	-2.3323	0.452544	1.1074	0.54714
Cytokinin	ENSRNA049480018	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	-2.01	0.591269	1.3911	0.748751	-2.3085	0.442574	1.0926	0.544992
Strigolactone	ENSRNA049480913	SNORD14	Small nucleolar RNA SNORD14	-0.0655	0.940762	0.4807	0.748751	-1.5191	0.402211	-0.9728	0.196486
ROS_Scavenging	ENSRNA049481253	Intron_gpII	Group II catalytic intron	0	NA	-1.6674	0.748751	0	NA	-1.6674	0.58482
ROS_Scavenging	ENSRNA049481625	Intron_gpII	Group II catalytic intron	0	NA	1.2037	0.748751	-1.2037	0.606531	0	NA
Strigolactone	ENSRNA049482043	SNORD14	Small nucleolar RNA SNORD14	-0.0638	0.937948	0.0184	0.988354	-0.544	0.583451	-0.4618	0.49614
ROS_Scavenging	ENSRNA049482201	Intron_gpII	Group II catalytic intron	-0.8264	0.77495	-0.4188	0.891573	-0.0977	0.948095	0.3098	0.884419
ROS_Scavenging	ENSRNA049482203	Intron_gpII	Group II catalytic intron	2.1619	0.589865	-0.4316	0.917539	0.7752	0.65231	-1.8183	0.58482
ROS_Scavenging	ENSRNA049482206	Intron_gpII	Group II catalytic intron	1.7845	0.643007	-0.9704	0.818588	1.031	0.606531	-1.724	0.58482
ROS_Scavenging	ENSRNA049482210	Intron_gpII	Group II catalytic intron	0.4933	0.679482	-2.3473	0.748751	1.5944	0.46438	-1.2461	0.653869
ROS_Scavenging	ENSRNA049482214	Intron_gpII	Group II catalytic intron	-1.0293	0.808082	-0.3506	0.835039	0.7164	0.571454	1.3951	0.699984
ROS_Scavenging	ENSRNA049482216	Intron_gpII	Group II catalytic intron	2.0894	0.670681	-2.3026	0.748751	2.0894	0.606531	-2.3026	0.58482
ROS_Scavenging	ENSRNA049482220	Intron_gpII	Group II catalytic intron	2.0851	0.670681	-2.302	0.748751	2.0851	0.606531	-2.302	0.58482
Cytokinin	ENSRNA049482271	SSU_rRNA_eukarya	Eukaryotic small subunit ribosomal RNA	-0.7303	0.666064	0.9667	0.748751	-1.674	0.44743	0.0231	0.978113
Cytokinin	ENSRNA049482394	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	-1.6576	0.589865	1.4286	0.748751	-2.1982	0.407201	0.888	0.548264
Cytokinin	ENSRNA049482397	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	-1.8508	0.611891	2.22	0.748751	-1.6911	0.559111	2.3798	0.44167
Cytokinin	ENSRNA049482408	SSU_rRNA_eukarya	Eukaryotic small subunit ribosomal RNA	-1.1053	0.584108	0.8346	0.748751	-1.3518	0.473282	0.5881	0.560115
Cytokinin	ENSRNA049482412	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	-2.2111	0.595544	1.4213	0.748751	-2.2589	0.449031	1.3735	0.521621
Cytokinin	ENSRNA049482415	SSU_rRNA_eukarya	Eukaryotic small subunit ribosomal RNA	0.9488	0.670681	-0.8154	0.748751	1.7082	0.510822	-0.0559	0.939183
ROS_Scavenging	ENSRNA049482814	Intron_gpII	Group II catalytic intron	-0.5789	0.670681	1.4527	0.748751	-1.4527	0.606531	0.5789	0.58482
ROS_Scavenging	ENSRNA049482817	Intron_gpII	Group II catalytic intron	0	NA	-0.7142	0.748751	0	NA	-0.7142	0.58482
ROS_Scavenging	ENSRNA049482820	Intron_gpII	Group II catalytic intron	0.2912	0.841257	2.124	0.748751	-0.6277	0.656462	1.205	0.315756
ROS_Scavenging	ENSRNA049483112	Intron_gpII	Group II catalytic intron	3.7157	0.592642	-0.704	0.893378	0.7187	0.693984	-3.7011	0.58482
ROS_Scavenging	ENSRNA049483121	Intron_gpII	Group II catalytic intron	-1.1988	0.716935	1.3919	0.784378	-1.0309	0.710422	1.5598	0.588079
ROS_Scavenging	ENSRNA049483142	Intron_gpII	Group II catalytic intron	1.3203	0.670681	-0.4966	0.914401	0.1217	0.966215	-1.6952	0.589789
ROS_Scavenging	ENSRNA049483145	Intron_gpII	Group II catalytic intron	0.6138	0.798114	-0.4706	0.748751	1.295	0.52357	0.2105	0.926562
ROS_Scavenging	ENSRNA049483150	Intron_gpII	Group II catalytic intron	-0.6623	0.752516	1.2027	0.748751	0.1787	0.877466	2.0437	0.504368
ROS_Scavenging	ENSRNA049483159	Intron_gpII	Group II catalytic intron	-0.3924	0.8648	-0.1536	0.94612	0.4813	0.771906	0.7201	0.684208
ROS_Scavenging	ENSRNA049483162	Intron_gpII	Group II catalytic intron	-1.5843	0.670681	-1.2218	0.748751	-0.1293	0.953645	0.2333	0.895571
ROS_Scavenging	ENSRNA049483166	Intron_gpII	Group II catalytic intron	-0.0272	0.987778	-1.3381	0.748751	-0.0451	0.967639	-1.356	0.534375
ROS_Scavenging	ENSRNA049483172	Intron_gpII	Group II catalytic intron	1.8338	0.460481	-0.9741	0.748751	0.809	0.485447	-1.999	0.323311
ROS_Scavenging	ENSRNA049483176	Intron_gpII	Group II catalytic intron	-0.0676	0.945073	0.2399	0.843193	-0.3127	0.698688	-0.0052	0.99395
ROS_Scavenging	ENSRNA049483178	Intron_gpII	Group II catalytic intron	-0.2218	0.947485	-0.2633	0.945227	0.8238	0.60456	0.7823	0.790646
ROS_Scavenging	ENSRNA049483181	Intron_gpII	Group II catalytic intron	-0.7732	0.599943	0.1087	0.946122	0.1012	0.927289	0.9832	0.373131
ROS_Scavenging	ENSRNA049483187	Intron_gpII	Group II catalytic intron	-0.4278	0.670681	0.1724	0.806344	-0.8078	0.325252	-0.2076	0.736378
ROS_Scavenging	ENSRNA049483191	Intron_gpI	Group I catalytic intron	-1.4328	0.649957	-0.2284	0.944033	-0.9035	0.587645	0.3009	0.863471
Cytokinin	ENSRNA049483482	SSU_rRNA_eukarya	Eukaryotic small subunit ribosomal RNA	-1.0669	0.680136	-0.5393	0.748751	-0.7346	0.485232	-0.207	0.882942
Cytokinin	ENSRNA049483501	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	-1.8357	0.589953	1.304	0.748751	-2.0673	0.43682	1.0724	0.534375
Cytokinin	ENSRNA049483506	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	-2.163	0.525402	1.5524	0.748751	-2.4856	0.335573	1.2298	0.427789
Cytokinin	ENSRNA049483509	SSU_rRNA_eukarya	Eukaryotic small subunit ribosomal RNA	-1.3436	0.556401	0.7527	0.748751	-1.269	0.446346	0.8273	0.482765
Cytokinin	ENSRNA049483726	SSU_rRNA_eukarya	Eukaryotic small subunit ribosomal RNA	-1.3041	0.565052	0.7761	0.748751	-1.1864	0.519676	0.8937	0.474062
Cytokinin	ENSRNA049483814	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	-0.0986	0.766024	-0.1799	0.778592	-0.0277	0.84812	-0.109	0.78311
Cytokinin	ENSRNA049483817	LSU_rRNA_eukarya	Eukaryotic large subunit ribosomal RNA	-1.6075	0.411674	1.3226	0.753624	-2.304	0.594909	0.6262	0.483368
Cytokinin	ENSRNA049483821	SSU_rRNA_eukarya	Eukaryotic small subunit ribosomal RNA	-1.728	0.648309	1.1512	0.748751	-1.2034	0.492003	1.6757	0.522203
Cytokinin	ENSRNA049483823	SSU_rRNA_eukarya	Eukaryotic small subunit ribosomal RNA	-1.3538	0.553614	0.0126	0.992513	-0.4016	0.704913	0.9648	0.446461
