Pathway	GeneID	Symbol	Description	HL_vs_LL_1mM_log2FC	HL_vs_LL_1mM_padj	HL_vs_LL_10mM_log2FC	HL_vs_LL_10mM_padj	HighN_vs_LowN_HL_log2FC	HighN_vs_LowN_HL_padj	HighN_vs_LowN_LL_log2FC	HighN_vs_LowN_LL_padj
Redox_Metabolism	Cz12g03230	AT5G23440	(1 of 1) PTHR46937:SF4 - FERREDOXIN-THIOREDOXIN REDUCTASE, VARIABLE CHAIN	0.0978	0.345194	0.1972	0.088758	0.029	0.322877	-0.0705	0.295966
Proline	Cz12g03260	AT1G57770	(1 of 2) 5.2.1.13 - prolycopene isomerase. / CRTISO.	0.4525	0.129561	0.5724	0.095456	-0.0543	0.496952	-0.1742	0.088699
Protein_Sorting_Secretory	Cz12g03270	AT1G21170	(1 of 2) K17637 - exocyst complex component 2 (EXOC2, SEC5)	0.2464	0.162576	0.4507	0.12522	-0.5138	0.009846	-0.7182	0.027125
Glycolysis	Cz12g04030	AT5G15870	(1 of 1) K01180 - endo-1,3(4)-beta-glucanase (E3.2.1.6)	0.2058	0.733809	0.263	0.923351	-1.8034	0.108145	-1.8606	0.088938
Glycolysis	Cz12g04040	AT5G15870	(1 of 1) K01180 - endo-1,3(4)-beta-glucanase (E3.2.1.6)	0.4128	0.605724	-1.7015	0.384371	-3.6443	0.064757	-1.53	0.14532
Ubiquitin_Proteasome	Cz12g04070	AT4G05050	(1 of 1) K04551//K08770//K12158 - ubiquitin B (UBB) // ubiquitin C (UBC) // ubiquitin-like protein Nedd8 (NEDD8)	0.1185	0.354888	0.4505	0.165144	-0.5656	0.015221	-0.8976	0.021513
Pyrimidine	Cz12g04120	AT3G47390	(1 of 1) 1.1.1.193 - 5-amino-6-(5-phosphoribosylamino)uracil reductase. / 5-amino-6-(5-phosphoribosylamino)uracil reductase.	-0.092	0.722516	0.2448	0.289104	-0.1784	0.366304	-0.5152	0.050572
Chlorophyll	Cz12g05020	AT3G51820	(1 of 1) 2.5.1.62 - chlorophyll synthase. / chlorophyll synthase.	0.2167	0.843149	-0.8793	0.45689	0.0162	0.987484	1.1122	0.147934
Glutamine	Cz12g05070	AT1G12140	(1 of 3) PTHR23023:SF213 - FLAVIN-CONTAINING MONOOXYGENASE FMO GS-OX-LIKE 1-RELATED	0.556	0.427185	0.0156	0.981964	-0.6576	0.190815	-0.1172	0.830064
Glucosinolate	Cz12g05080	AT1G62570	(1 of 6) 1.14.13.237 - aliphatic glucosinolate S-oxygenase. / omega-(methylthio)alkylglucosinolate S-oxygenase.	0.5144	0.296136	0.2605	0.528414	-0.3743	0.11113	-0.1204	0.720091
Telomere_Maintenance	Cz12g05110	AT1G17520	(1 of 3) PTHR46267:SF3 - TELOMERE REPEAT-BINDING FACTOR 4-RELATED	0.207	0.247506	0.0222	0.777741	-0.3198	0.020585	-0.1351	0.141417
Thioredoxin_Peroxiredoxin	Cz12g05170	AT3G26060	(1 of 1) K03564 - peroxiredoxin Q/BCP (BCP, PRXQ, DOT5)	-0.2918	0.221622	-0.2732	0.296294	1.0075	0.044743	0.9888	0.035692
Chloroplast_Function	Cz12g05180	AT5G21930	(1 of 1) PTHR43520:SF19 - COPPER-TRANSPORTING ATPASE PAA2, CHLOROPLASTIC	0.1568	0.407153	0.0061	0.971808	-0.6209	0.038621	-0.4701	0.038572
Histidine	Cz12g05190	AT5G10720	(1 of 1) PTHR43047:SF68 - HISTIDINE KINASE 5	0.1032	0.67056	-0.04	0.899821	-0.3404	0.079828	-0.1972	0.385593
RNA_Splicing	Cz12g05220	AT2G01170	(1 of 1) PTHR45649:SF30 - AMINO-ACID PERMEASE BAT1	0.2139	0.54367	0.1193	0.741599	-5.3209	0.034666	-5.2263	0.027666
Cysteine	Cz12g05230	AT1G08490	(1 of 1) 2.8.1.7//4.4.1.16 - cysteine desulfurase. / cysteine desulfurylase. // selenocysteine lyase. / selenocysteine reductase.	0.8623	0.311931	0.0321	0.9576	-3.9476	0.055083	-3.1175	0.082018
Redox_Metabolism	Cz12g06020	AT2G22780	(1 of 1) PTHR11540:SF71 - MALATE DEHYDROGENASE 1, PEROXISOMAL	0.5915	0.287036	-0.5135	0.652666	-1.4308	0.077692	-0.3258	0.425415
Protein_Proteolysis	Cz12g06040	AT4G20850	(1 of 1) K01280 - tripeptidyl-peptidase II [EC:3.4.14.10] (TPP2)	0.258	0.239351	0.1821	0.467448	-1.2995	0.007114	-1.2236	0.016046
Leucine	Cz12g06110	AT5G11850	(1 of 1) K04424 - sterile alpha motif and leucine zipper containing kinase AZK (ZAK, MLTK)	0.0108	0.96231	0.0098	0.988977	-1.5673	0.014639	-1.5662	0.025297
Chloroplast_Function	Cz12g06140	AT4G27700	(1 of 1) PTHR44920:SF1 - RHODANESE-LIKE DOMAIN-CONTAINING PROTEIN 14, CHLOROPLASTIC	0.0331	0.625426	0.6111	0.142206	0.4526	0.06552	-0.1254	0.104007
RNA_Polymerase	Cz12g06180	AT5G13240	(1 of 1) PTHR22504:SF0 - REPRESSOR OF RNA POLYMERASE III TRANSCRIPTION MAF1 HOMOLOG	0.0844	0.335685	-0.3584	0.378598	-0.4113	0.161476	0.0315	0.376506
RNA_Polymerase	Cz12g07020	AT3G49000	(1 of 1) K03023 - DNA-directed RNA polymerase III subunit RPC3 (RPC3, POLR3C)	0.1283	0.389003	0.0545	0.827931	-0.1129	0.475696	-0.0391	0.633248
Molybdenum_Cofactor	Cz12g07030	AT5G66010	(1 of 1) PTHR13976:SF71 - RNA-BINDING (RRM_RBD_RNP MOTIFS) FAMILY PROTEIN	-0.0186	0.95837	-0.0431	0.953562	-0.4834	0.197957	-0.4589	0.213876
Protein_Proteolysis	Cz12g07040	AT3G14067	(1 of 1) PTHR10795:SF785 - SUBTILISIN-LIKE PROTEASE SBT1.4	-0.1244	0.74611	-0.0204	0.978191	-0.4175	0.197725	-0.5215	0.256443
Cardiolipin_Metabolism	Cz12g07050	AT3G58830	(1 of 1) 3.1.3.27 - phosphatidylglycerophosphatase. / phosphatidylglycerophosphatase.	0.317	0.225083	0.1622	0.281958	-0.5105	0.011355	-0.3556	0.056672
Protein_Proteolysis	Cz12g07110	AT5G36950	(1 of 1) IPR001478//IPR001940//IPR009003//IPR036034//IPR041517//IPR043504//IPR046449 - PDZ domain // Peptidase S1C // Peptidase S1, PA clan // PDZ superfamily // Protease Do-like, PDZ domain // Peptidase S1, PA clan, chymotrypsin-like fold // Protease Do-like, PDZ domain superfamily	-0.0801	0.695446	-0.4048	0.237281	-1.63	0.013903	-1.3053	0.028853
