Pathway	GeneID	Symbol	Description	HL_vs_LL_1mM_log2FC	HL_vs_LL_1mM_padj	HL_vs_LL_10mM_log2FC	HL_vs_LL_10mM_padj	HighN_vs_LowN_HL_log2FC	HighN_vs_LowN_HL_padj	HighN_vs_LowN_LL_log2FC	HighN_vs_LowN_LL_padj
Glycine	Cz01g00020	AT3G48110	(1 of 1) K14164 - glycyl-tRNA synthetase (glyQS)	-0.0729	0.403539	0.1947	0.104588	0.0818	0.191645	-0.1858	0.033378
Protein_Kinase_Signalling	Cz01g00050	AT5G05160	(1 of 1) PTHR48010:SF11 - PROTEIN KINASE DOMAIN-CONTAINING PROTEIN	-0.2593	0.638848	-0.2488	0.802691	-0.7749	0.268786	-0.7854	0.07375
Inositol	Cz01g00060	AT1G68000	(1 of 1) PTHR15362:SF25 - CDP-DIACYLGLYCEROL--INOSITOL 3-PHOSPHATIDYLTRANSFERASE 1	-0.0989	0.805765	-0.1146	0.644386	-0.4703	0.211868	-0.4546	0.136697
Protein_Phosphatase_Signalling	Cz01g00080	AT1G59830	(1 of 1) PTHR45619:SF16 - SERINE_THREONINE-PROTEIN PHOSPHATASE PP2A-1 CATALYTIC SUBUNIT	0.0442	0.483599	0.2401	0.097782	-0.2574	0.023581	-0.4533	0.020919
Lipid_Hydrolase	Cz01g00090	AT1G33270	(1 of 1) KOG3773 - Adiponutrin and related vesicular transport proteins; predicted alpha/beta hydrolase	-0.0721	0.905323	-0.0953	0.854826	0.3054	0.391767	0.3286	0.412118
Protein_Phosphatase_Signalling	Cz01g00100	AT4G26080	(1 of 1) PTHR47992:SF179 - PROTEIN PHOSPHATASE 2C 56	-0.0519	0.397131	-0.1762	0.708063	-0.535	0.127108	-0.4107	0.127153
Vesicle_Trafficking	Cz01g00110	AT1G73430	(1 of 1) PF04136//PF20671 - Conserved oligomeric Golgi complex subunit 3, N-terminal (COG3_N) // Conserved oligomeric Golgi complex subunit 3, C-terminal (COG3_C)	0.2831	0.137172	-0.0476	0.778969	-0.6677	0.017107	-0.3371	0.042446
Protein_Phosphatase_Signalling	Cz01g00140	AT4G32950	(1 of 1) PTHR47992:SF82 - PROTEIN PHOSPHATASE 2C 61-RELATED	0.103	0.832564	-1.8124	0.207702	-3.0576	0.026199	-1.1421	0.083552
RNA_Splicing	Cz01g00150	AT4G31770	(1 of 1) K18328 - lariat debranching enzyme [EC:3.1.-.-] (DBR1)	0.2161	0.498563	0.1155	0.765454	-0.4506	0.079655	-0.35	0.253412
RNA_Splicing	Cz01g00160	AT4G31770	(1 of 1) K18328 - lariat debranching enzyme [EC:3.1.-.-] (DBR1)	0.1446	0.552128	0.0803	0.806593	-0.3372	0.050163	-0.2729	0.281378
RNA_Processing	Cz01g00180	AT5G53020	(1 of 1) PTHR47747:SF2 - RIBONUCLEASE P PROTEIN SUBUNIT P38-LIKE PROTEIN	-0.0864	0.405472	0.1093	0.399714	0.4182	0.025682	0.2225	0.058296
Translation	Cz01g00200	AT5G19485	(1 of 1) K03241 - translation initiation factor eIF-2B subunit gamma (EIF2B3)	-0.0544	0.640644	0.1775	0.44225	-0.1424	0.294494	-0.3743	0.045733
Protein_Proteolysis	Cz01g00220	AT5G27660	(1 of 1) PTHR22939:SF125 - PROTEASE DO-LIKE 14-RELATED	-0.0339	0.725069	0.0281	0.535825	-0.1558	0.116708	-0.2178	0.04359
Tyrosine	Cz01g00230	AT2G33840	(1 of 3) 6.1.1.1 - tyrosine--tRNA ligase. / tyrosyl-tRNA synthetase.	-0.1318	0.488496	0.1747	0.106565	0.2176	0.11176	-0.0889	0.421459
Protein_Kinase_Signalling	Cz01g00240	AT1G50700	(1 of 2) PTHR24349:SF350 - CALCIUM-DEPENDENT PROTEIN KINASE 33-RELATED	-0.0495	0.848383	-0.5747	0.260372	-0.5729	0.121188	-0.0477	0.743605
Glutathione_Metabolism	Cz01g00270	AT1G78660	(1 of 1) PTHR11315:SF15 - GAMMA-GLUTAMYL HYDROLASE 1	0.3161	0.286046	0.1272	0.837085	-0.5133	0.187329	-0.3244	0.089463
Glutathione_Metabolism	Cz01g00280	AT1G78670	(1 of 1) PTHR11315:SF13 - GAMMA-GLUTAMYL HYDROLASE 3-RELATED	0.2915	0.353747	0.2477	0.326336	-0.4382	0.103813	-0.3944	0.07485
Chloroplast_Function	Cz01g00300	AT3G12930	(1 of 1) PTHR21043:SF2 - PROTEIN IOJAP, CHLOROPLASTIC	0.1691	0.327333	0.4135	0.13917	0.0428	0.515432	-0.2015	0.145322
Cytoskeleton	Cz01g01010	AT2G31300	(1 of 2) K05757 - actin related protein 2/3 complex, subunit 1A/1B (ARPC1A_B)	-0.1301	0.7969	0.0266	0.983698	-0.8517	0.182625	-1.0084	0.18207
One_Carbon_Metabolism	Cz01g01020	AT4G13940	(1 of 2) 3.3.1.1 - adenosylhomocysteinase. / SAHase.	0.063	0.609229	0.0102	0.919351	-0.4061	0.045782	-0.3533	0.029236
Calcium_Signalling	Cz01g01070	AT3G10300	(1 of 1) PTHR46824:SF1 - CALCIUM-BINDING PROTEIN CML49-RELATED	0.0792	0.439026	0.0871	0.642202	-0.3643	0.060258	-0.3722	0.033681
RNA_Processing	Cz01g01080	AT4G24270	(1 of 1) PF00076//PF05391 - RNA recognition motif (RRM_1) // Lsm interaction motif (Lsm_interact)	0.1037	0.307064	-0.068	0.571901	-0.5876	0.011656	-0.4158	0.026924
RNA_Splicing	Cz01g01130	AT1G31870	(1 of 1) K13106 - pre-mRNA-splicing factor CWC26 (BUD13, CWC26)	0.0186	0.804405	0.0667	0.644573	-0.3762	0.025473	-0.4243	0.019324
DNA_Repair	Cz01g01140	AT5G43530	(1 of 1) PTHR45626:SF22 - DNA REPAIR PROTEIN RAD5	0.2556	0.271306	0.1449	0.739366	-0.9544	0.015929	-0.8437	0.041536
Protein_Kinase_Signalling	Cz01g01200	AT5G59440	(1 of 1) 1.2.4.4//2.7.4.12//2.7.4.9 - 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring). / dehydrogenase, 2-oxoisovalerate (lipoate). // T2-induced deoxynucleotide kinase. / T2-induced deoxynucleotide kinase. // dTMP kinase. / TMPK.	0.2806	0.256173	-0.1132	0.425285	-0.8019	0.011669	-0.4081	0.026185
Translation	Cz01g01210	AT3G19760	(1 of 1) PTHR47958:SF26 - EUKARYOTIC INITIATION FACTOR 4A-III	0.0514	0.65507	0.1302	0.400289	-0.2545	0.074313	-0.3333	0.013492
Methionine	Cz01g01220	AT4G13780	(1 of 1) PTHR45765:SF1 - METHIONINE--TRNA LIGASE, CYTOPLASMIC	0.0186	0.869323	0.0988	0.481319	-0.394	0.037328	-0.4742	0.041522
Protein_Kinase_Signalling	Cz01g01240	AT5G58140	(1 of 1) PTHR45637:SF22//PTHR47429:SF2 - FLIPPASE KINASE 1-RELATED // PROTEIN TWIN LOV 1	0.075	0.683623	-0.5875	0.108433	-0.4997	0.047048	0.1628	0.177262
Chloroplast_Function	Cz01g01250	AT2G31890	(1 of 1) PTHR21228:SF74 - RAP DOMAIN-CONTAINING PROTEIN, CHLOROPLASTIC	0.2448	0.374765	-0.1625	0.567851	-0.5234	0.064871	-0.1161	0.311264
RNA_Processing	Cz01g02030	AT3G15080	(1 of 1) K18327 - RNA exonuclease 4 [EC:3.1.-.-] (REXO4, REX4)	-0.0175	0.855431	0.0552	0.833956	-0.2158	0.189313	-0.2885	0.082741
Translation	Cz01g02050	AT5G10730	(1 of 1) PTHR12126:SF16 - MIOREX COMPLEX COMPONENT 2	0.284	0.223716	0.3402	0.106565	-0.5198	0.009718	-0.576	0.036487
Translation	Cz01g02060	AT1G73230	(1 of 1) PTHR10351:SF55 - NASCENT POLYPEPTIDE-ASSOCIATED COMPLEX SUBUNIT BETA	-0.1769	0.330148	0.214	0.330678	0.3998	0.059204	0.0088	0.917032
Glutathione_Metabolism	Cz01g02070	AT1G70580	(1 of 2) 2.3.2.2//2.6.1.2//2.6.1.4//2.6.1.44 - gamma-glutamyltransferase. / glutamyl transpeptidase. // alanine transaminase. / glutamic--pyruvic transaminase. // glycine transaminase. / glycine aminotransferase. // alanine--glyoxylate transaminase. / alanine--glyoxylate aminotransferase.	0.0686	0.511576	0.2857	0.223501	0.4942	0.03901	0.2771	0.027666
Vitamin_B1_Thiamine	Cz01g02160	AT3G21390	(1 of 2) K15108 - solute carrier family 25 (mitochondrial thiamine pyrophosphate transporter), member 19 (SLC25A19, DNC, TPC1)	0.12	0.447432	0.0455	0.819196	-0.3522	0.068085	-0.2778	0.122744
Ubiquitin_Proteasome	Cz01g02180	AT3G48380	(1 of 1) PTHR48153:SF2 - UFM1-SPECIFIC PROTEASE 2	0.0648	0.308549	0.1054	0.432855	-0.3575	0.012707	-0.3981	0.043405
Phospholipid_Biosynthesis	Cz01g02190	AT1G64720	(1 of 1) PTHR19308:SF39 - PHOSPHATIDYLCHOLINE TRANSFER PROTEIN	-0.2158	0.32533	-0.3064	0.433593	0.8532	0.107526	0.9438	0.027666
Glycolysis	Cz01g02230	AT5G63840	(1 of 1) 3.2.1.84 - glucan 1,3-alpha-glucosidase. / exo-1,3-alpha-glucanase.	0.1772	0.413226	0.1452	0.591593	-0.7432	0.025574	-0.7112	0.024941
Redox_Metabolism	Cz01g02240	AT1G04420	(1 of 1) PTHR43364:SF4 - NAD(P)-LINKED OXIDOREDUCTASE SUPERFAMILY PROTEIN	0.0352	0.922832	-0.0673	0.812828	0.3934	0.096535	0.4959	0.109143
Redox_Metabolism	Cz01g02250	AT1G04420	(1 of 1) PTHR43364:SF4 - NAD(P)-LINKED OXIDOREDUCTASE SUPERFAMILY PROTEIN	0.0734	0.699672	-0.079	0.682597	0.279	0.141109	0.4315	0.027306
Polyamine_Biosynthesis	Cz01g02260	AT5G08170	(1 of 1) 3.5.3.12 - agmatine deiminase. / agmatine deiminase.	0.4487	0.301309	-0.3473	0.270314	-1.0765	0.016695	-0.2805	0.335051
Carotenoid	Cz01g02290	AT1G67080	(1 of 1) 5.3.99.9 - neoxanthin synthase. / NSY.	0.1131	0.528078	-1.1497	0.1221	-0.2808	0.201503	0.982	0.060547
Protein_Proteolysis	Cz01g02300	AT4G17040	(1 of 1) PTHR10381:SF47 - ATP-DEPENDENT CLP PROTEASE PROTEOLYTIC SUBUNIT-RELATED PROTEIN 4, CHLOROPLASTIC	0.0133	0.636963	0.306	0.093318	0.3234	0.01046	0.0308	0.175381
Protein_Kinase_Signalling	Cz01g03020	AT5G16810	(1 of 1) PTHR36796:SF1 - PROTEIN KINASE FAMILY PROTEIN	0.1171	0.375992	0.3866	0.172888	0.1725	0.214848	-0.097	0.405544
Transcription	Cz01g03070	AT4G20130	(1 of 1) PTHR13271:SF54 - PROTEIN PLASTID TRANSCRIPTIONALLY ACTIVE 14	0.0462	0.654679	0.2323	0.183138	0.2424	0.062247	0.0563	0.466321
Vitamin_B1_Thiamine	Cz01g03110	AT5G54770	(1 of 1) K03146 - thiamine thiazole synthase (THI4, THI1)	0.2251	0.329675	0.6157	0.198668	-0.6365	0.024128	-1.0271	0.040045
Protein_Methylation	Cz01g03170	AT3G12270	(1 of 1) K11436 - protein arginine N-methyltransferase 3 [EC:2.1.1.-] (PRMT3)	-0.301	0.61185	-0.0435	0.959585	-0.8794	0.14868	-1.1369	0.096269
Protein_Methylation	Cz01g03180	AT4G16570	(1 of 1) 2.1.1.321 - type III protein arginine methyltransferase. / type III protein arginine methyltransferase.	-0.0696	0.845098	0.3123	0.757739	-0.6415	0.240413	-1.0235	0.035456
Wax_Cutin	Cz01g03190	AT4G17190	(1 of 2) 2.5.1.1//2.5.1.10 - dimethylallyltranstransferase. / prenyltransferase. // (2E,6E)-farnesyl diphosphate synthase. / geranyltranstransferase.	0.1381	0.385268	0.1807	0.093318	-0.2734	0.067395	-0.3159	0.078676
Purine	Cz01g03210	AT4G01100	(1 of 1) PTHR24089:SF776 - MITOCHONDRIAL ADENINE NUCLEOTIDE TRANSPORTER ADNT1	0.1067	0.276891	0.0179	0.900124	-0.0034	0.961602	0.0854	0.305558
Ubiquitin_Proteasome	Cz01g03220	AT1G68300	(1 of 1) PTHR31964:SF113 - USP DOMAIN-CONTAINING PROTEIN	0.3167	0.606852	0.2231	0.880283	-0.5784	0.241732	-0.4848	0.562767
Glycine	Cz01g03240	AT1G11860	(1 of 1) K00605 - aminomethyltransferase (gcvT, AMT)	0.017	0.725834	0.1979	0.041488	0.2591	0.015005	0.0783	0.065853
Protein_Acetylation	Cz01g03250	AT1G10490	(1 of 1) PTHR10925:SF5 - N-ACETYLTRANSFERASE 10	-0.1457	0.562293	0.0444	0.849908	-0.4315	0.029303	-0.6215	0.067973
Methionine	Cz01g03260	AT3G57940	(1 of 2) 2.3.1.193 - tRNA(Met) cytidine acetyltransferase. / tRNA(Met) cytidine acetyltransferase.	-0.1258	0.565826	0.1824	0.637432	-0.2813	0.19676	-0.5895	0.061812
Ubiquitin_Proteasome	Cz01g03270	AT3G17000	(1 of 1) K10578 - ubiquitin-conjugating enzyme E2 J1 (UBE2J1, NCUBE1, UBC6)	-0.1284	0.428937	0.0279	0.861976	0.078	0.503835	-0.0783	0.356806
Metal_Ion_Transport	Cz01g03280	AT1G01910	(1 of 1) K01551 - arsenite-transporting ATPase [EC:3.6.3.16] (arsA, ASNA1)	-0.0027	0.990027	0.389	0.301015	0.2477	0.244735	-0.144	0.271421
Metal_Ion_Transport	Cz01g03290	AT1G01910	(1 of 1) K01551 - arsenite-transporting ATPase [EC:3.6.3.16] (arsA, ASNA1)	0.0503	0.649972	0.4095	0.095617	0.202	0.055781	-0.1572	0.149213
Sterol_Lipid_Metabolism	Cz01g04010	AT5G02100	(1 of 1) PTHR10972:SF165 - OXYSTEROL-BINDING PROTEIN-RELATED PROTEIN 3A	-0.0512	0.591538	-3e-04	0.998487	0.0906	0.211744	0.0396	0.694024
Cell_Cycle_Chromatin	Cz01g04020	AT4G39680	(1 of 1) K12875 - apoptotic chromatin condensation inducer in the nucleus (ACIN1, ACINUS)	0.0575	0.498557	0.2203	0.354932	-0.3597	0.055836	-0.5224	0.027948
Photosynthesis	Cz01g04040	AT3G63540	(1 of 14) IPR016123 - Mog1/PsbP, alpha/beta/alpha sandwich	-0.0012	0.991615	-0.0065	0.963702	0.5916	0.026742	0.5969	0.019934
Proline	Cz01g04060	AT2G14260	(1 of 1) K01259 - proline iminopeptidase (pip)	0.0331	0.905166	0.0042	0.981964	-0.7171	0.062322	-0.6882	0.045743
Chaperone	Cz01g04070	AT4G39920	(1 of 1) PTHR15139:SF0 - TUBULIN-SPECIFIC CHAPERONE C	0.0681	0.628202	0.0555	0.694242	-0.3721	0.062133	-0.3596	0.059276
tRNA_Modification	Cz01g04080	AT4G22720	(1 of 2) 2.3.1.234 - N(6)-L-threonylcarbamoyladenine synthase. / t6A synthase.	-0.0396	0.888848	-0.0222	0.839424	0.2233	0.187755	0.2059	0.240322
Glutamine	Cz01g04100	AT5G35630	(1 of 1) PTHR20852:SF117 - GLUTAMINE SYNTHETASE, CHLOROPLASTIC_MITOCHONDRIAL	-0.202	0.297492	-0.0185	0.960583	-0.2077	0.078801	-0.3911	0.143491
Phospholipid_Biosynthesis	Cz01g04120	AT3G46450	(1 of 1) PTHR47041:SF2 - SEC14 CYTOSOLIC FACTOR FAMILY PROTEIN _ PHOSPHOGLYCERIDE TRANSFER FAMILY PROTEIN	0.2118	0.529327	0.1166	0.492872	-0.3824	0.039712	-0.2871	0.335751
Cell_Cycle_Chromatin	Cz01g04140	AT5G42140	(1 of 1) PTHR22870:SF91 - REGULATOR OF CHROMOSOME CONDENSATION (RCC1) FAMILY WITH FYVE ZINC FINGER DOMAIN-RELATED	0.6857	0.321198	0.3301	0.575144	-2.3092	0.038748	-1.9536	0.11274
Photosynthesis	Cz01g04150	AT1G77090	(1 of 1) PTHR31407:SF38 - PSBP DOMAIN-CONTAINING PROTEIN 4, CHLOROPLASTIC	0.0561	0.46011	0.5102	0.058991	-0.1337	0.030432	-0.5879	0.016312
Photosynthesis	Cz01g04160	AT1G77090	(1 of 1) PTHR31407:SF38 - PSBP DOMAIN-CONTAINING PROTEIN 4, CHLOROPLASTIC	0.0881	0.556662	0.409	0.1344	-0.1624	0.19936	-0.4832	0.029893
Protein_Kinase_Signalling	Cz01g04170	AT1G12680	(1 of 1) PTHR24349:SF261 - SERINE_THREONINE-PROTEIN KINASE PEPKR2	0.0571	0.830529	0.0426	0.928373	-0.3352	0.133683	-0.3207	0.271281
Translation	Cz01g04180	AT1G65030	(1 of 1) K14830 - protein MAK11 (MAK11, PAK1IP1)	-0.1022	0.681601	0.4651	0.318	0.0861	0.698851	-0.4813	0.117836
Translation	Cz01g04190	AT1G65030	(1 of 1) K14830 - protein MAK11 (MAK11, PAK1IP1)	-0.2062	0.487671	0.4402	0.122505	0.1161	0.278902	-0.5303	0.110614
Lysine	Cz01g04200	AT3G02470	(1 of 2) 4.1.1.18//4.1.1.50 - lysine decarboxylase. / L-lysine carboxy-lyase. // adenosylmethionine decarboxylase. / S-adenosyl-L-methionine decarboxylase.	-0.3421	0.385996	0.3866	0.157393	1.0185	0.014508	0.2898	0.185818
Lysine	Cz01g04210	AT5G15950	(1 of 2) 4.1.1.18//4.1.1.50 - lysine decarboxylase. / L-lysine carboxy-lyase. // adenosylmethionine decarboxylase. / S-adenosyl-L-methionine decarboxylase.	-0.2601	0.487762	0.4486	0.184472	1.0166	0.017066	0.3078	0.229031
Metal_Ion_Transport	Cz01g04220	AT1G02260	(1 of 1) PTHR43302:SF5 - TRANSPORTER ARSB-RELATED	0.0721	0.61195	0.3566	0.19195	-0.4999	0.021777	-0.7844	0.025673
Glycolipid_Biosynthesis	Cz01g04230	AT3G20320	(1 of 1) PTHR34675:SF1 - PROTEIN TRIGALACTOSYLDIACYLGLYCEROL 2, CHLOROPLASTIC	-0.0365	0.802794	0.0506	0.702996	0.4136	0.026544	0.3265	0.050017
Gluconeogenesis	Cz01g04250	AT5G64380	(1 of 3) K03841 - fructose-1,6-bisphosphatase I (FBP, fbp)	0.2651	0.351919	0.5846	0.088771	-0.0582	0.482354	-0.3778	0.164186
Redox_Metabolism	Cz01g04260	AT4G05530	(1 of 1) K11147 - dehydrogenase/reductase SDR family member 4 (DHRS4)	0.19	0.221622	0.3967	0.162774	-0.2989	0.019007	-0.5056	0.053046
RNA_Processing	Cz01g05020	AT3G58510	(1 of 1) PTHR47958:SF145 - DEAD-BOX ATP-DEPENDENT RNA HELICASE 11	0.0302	0.803134	-0.0574	0.766323	-0.2283	0.058463	-0.1408	0.285031
RNA_Processing	Cz01g05030	AT3G58510	(1 of 1) PTHR47958:SF145 - DEAD-BOX ATP-DEPENDENT RNA HELICASE 11	-0.1346	0.577036	0.0266	0.703848	-0.0111	0.948579	-0.1723	0.038502
Protein_Kinase_Signalling	Cz01g05040	AT3G46920	(1 of 1) PTHR23257:SF797 - KINASE SUPERFAMILY WITH OCTICOSAPEPTIDE_PHOX_BEM1P DOMAIN-CONTAINING PROTEIN	0.245	0.225083	-0.347	0.398853	-1.261	0.011502	-0.669	0.054177
Protein_Kinase_Signalling	Cz01g05050	AT4G31170	(1 of 1) PTHR23257:SF942 - PROTEIN KINASE DOMAIN-CONTAINING PROTEIN	0.1896	0.505004	-0.4491	0.262878	-1.5597	0.00949	-0.9211	0.081717
Protein_Kinase_Signalling	Cz01g05090	AT3G46920	(1 of 1) PTHR23257:SF797 - KINASE SUPERFAMILY WITH OCTICOSAPEPTIDE_PHOX_BEM1P DOMAIN-CONTAINING PROTEIN	-0.0837	0.681711	-0.1157	0.833647	-0.6799	0.009874	-0.6479	0.105324
Gluconeogenesis	Cz01g05160	AT5G65690	(1 of 2) 4.1.1.32//4.1.1.49 - phosphoenolpyruvate carboxykinase (GTP). / phosphopyruvate carboxylase. // phosphoenolpyruvate carboxykinase (ATP). / phosphopyruvate carboxylase.	0.7195	0.556132	-0.6335	0.560953	-1.0631	0.300975	0.2898	0.633186
Nuclear_Transport	Cz01g05180	AT1G73240	(1 of 1) K14315 - nucleoporin NDC1 (NDC1, TMEM48)	0.0385	0.75866	0.2191	0.224475	-0.134	0.226484	-0.3146	0.041899
Protein_Lipidation	Cz01g05190	AT3G09320	(1 of 9) K18932 - palmitoyltransferase (ZDHHC)	0.2244	0.320702	-0.1879	0.411935	-0.4892	0.033706	-0.0769	0.55778
Redox_Metabolism	Cz01g05230	AT3G04650	(1 of 3) 1.6.3.5 - renalase. / alpha-NAD(P)H oxidase/anomerase.	0.2668	0.308123	0.4488	0.166126	-0.1894	0.146031	-0.3715	0.108231
Redox_Metabolism	Cz01g05240	AT3G04650	(1 of 3) 1.6.3.5 - renalase. / alpha-NAD(P)H oxidase/anomerase.	0.3365	0.27799	0.4498	0.182917	-0.1983	0.189979	-0.3116	0.159748
Ubiquitin_Proteasome	Cz01g05270	AT5G38660	(1 of 1) PF05348//PF11016 - Proteasome maturation factor UMP1 (UMP1) // Protein of unknown function (DUF2854) (DUF2854)	0.0197	0.84307	0.4967	0.04154	0.5677	0.007727	0.0906	0.190333
Photosynthesis	Cz01g05275	ATCG00510	(1 of 1) K02696 - photosystem I subunit VIII (psaI)	-1.1641	0.167065	-0.8112	0.0964	2.2323	0.040331	1.8794	0.029236
Chaperone	Cz01g05290	AT3G08910	(1 of 1) PTHR24078:SF575 - J DOMAIN-CONTAINING PROTEIN	-0.4938	0.182184	0.0809	0.80945	0.2505	0.290126	-0.3242	0.076995
Protein_Proteolysis	Cz01g06040	AT5G36950	(1 of 1) IPR001478//IPR001940//IPR009003//IPR036034//IPR041517//IPR043504//IPR046449 - PDZ domain // Peptidase S1C // Peptidase S1, PA clan // PDZ superfamily // Protease Do-like, PDZ domain // Peptidase S1, PA clan, chymotrypsin-like fold // Protease Do-like, PDZ domain superfamily	-0.1061	0.472267	0.2357	0.291912	0.3531	0.068654	0.0113	0.895009
Starch	Cz01g06050	AT1G10760	(1 of 2) 2.7.9.4 - alpha-glucan, water dikinase. / starch-related R1 protein.	0.2887	0.255223	0.1243	0.746064	-1.7585	0.007667	-1.5941	0.017091
Starch	Cz01g06060	AT4G24450	(1 of 2) 2.7.9.4 - alpha-glucan, water dikinase. / starch-related R1 protein.	0.2724	0.309001	0.0994	0.826056	-1.866	0.012949	-1.693	0.026704
Cell_Wall_Remodeling	Cz01g06150	AT4G01040	(1 of 1) K17525 - chitinase domain-containing protein 1 (CHID1)	0.2452	0.296136	0.0202	0.886667	-0.7116	0.011749	-0.4866	0.061114
Protein_Kinase_Signalling	Cz01g06220	AT3G48530	(1 of 1) PTHR13780:SF36 - SNF1-RELATED PROTEIN KINASE REGULATORY SUBUNIT GAMMA-1	1.317	0.425411	-0.209	0.937747	-3.3052	0.149379	-1.7791	0.199273
Peroxisome_Biogenesis	Cz01g06260	AT1G03000	(1 of 1) K13339 - peroxin-6 (PEX6, PXAAA1)	0.1729	0.259276	0.1921	0.165144	-0.5051	0.013484	-0.5243	0.016523
Chloroplast_Function	Cz01g07040	AT1G77060	(1 of 1) PTHR42905:SF5 - CARBOXYVINYL-CARBOXYPHOSPHONATE PHOSPHORYLMUTASE, CHLOROPLASTIC	0.3351	0.423881	0.3878	0.116968	-1.6704	0.032078	-1.7231	0.078366
Protein_Phosphatase_Signalling	Cz01g07060	AT1G09160	(1 of 1) PTHR47992:SF150 - PROTEIN PHOSPHATASE 2C 5-RELATED	0.2128	0.335287	-0.0207	0.946152	-1.1151	0.017818	-0.8816	0.027666
Molybdenum_Cofactor	Cz01g07070	AT2G33620	(1 of 1) PTHR31500:SF57 - AT-HOOK MOTIF NUCLEAR-LOCALIZED PROTEIN 10	0.1251	0.258132	-0.0052	0.970306	-0.6765	0.005155	-0.5463	0.020828
Glycolysis	Cz01g07160	AT5G16150	(1 of 1) PTHR48022:SF2 - PLASTIDIC GLUCOSE TRANSPORTER 4	0.1414	0.682041	-0.605	0.329433	-0.5314	0.211397	0.2149	0.389615
Cell_Cycle_Chromatin	Cz01g07180	AT1G44110	(1 of 1) PTHR10177:SF583 - G2_MITOTIC-SPECIFIC CYCLIN-A	0.7792	0.316181	-2.4911	0.074018	-5.3921	0.042654	-2.1218	0.123549
Translation	Cz01g07240	AT2G34750	(1 of 3) K15216 - RNA polymerase I-specific transcription initiation factor RRN3 (RRN3, TIFIA)	-0.0698	0.601425	0.3123	0.192598	-0.2197	0.026246	-0.6017	0.02898
Ubiquitin_Proteasome	Cz01g08010	AT2G12550	(1 of 1) IPR000626//IPR009060//IPR015940//IPR029071 - Ubiquitin domain // UBA-like // Ubiquitin-associated domain // Ubiquitin-related domain	-0.1305	0.83006	0.3097	0.503361	-0.4045	0.461222	-0.8446	0.022317
Ubiquitin_Proteasome	Cz01g08020	AT2G12550	(1 of 1) IPR000626//IPR009060//IPR015940//IPR029071 - Ubiquitin domain // UBA-like // Ubiquitin-associated domain // Ubiquitin-related domain	0.1612	0.70777	0.3698	0.39519	-0.6234	0.145418	-0.832	0.073037
DNA_Repair	Cz01g08030	AT3G13226	(1 of 1) PTHR33602:SF1 - REGULATORY PROTEIN RECX	0.1363	0.418068	0.2005	0.191131	-0.1114	0.312866	-0.1755	0.100867
Protein_Proteolysis	Cz01g08040	AT5G42270	(1 of 2) PTHR23076:SF97 - ATP-DEPENDENT ZINC METALLOPROTEASE FTSH 2, CHLOROPLASTIC-RELATED	-0.0366	0.840969	0.1274	0.481319	-0.2455	0.056334	-0.4095	0.072756
Cytoskeleton	Cz01g08080	AT5G54670	(1 of 2) PTHR47972:SF46 - KINESIN-LIKE PROTEIN	0.5756	0.401405	-1.4029	0.087278	-3.6753	0.04652	-1.6969	0.137031
Seed_Storage_LEA	Cz01g08130	AT3G62730	(1 of 1) PTHR31694:SF22 - DESICCATION-RELATED PROTEIN PCC13-62	-0.2821	0.336324	0.2956	0.542005	-0.1624	0.531458	-0.7401	0.053756
DNA_Repair	Cz01g08140	AT1G79050	(1 of 1) PTHR45900:SF1 - MITOCHONDRIAL DNA REPAIR PROTEIN RECA HOMOLOG-RELATED	0.4386	0.255394	0.2587	0.411377	-0.339	0.093647	-0.1592	0.44569
DNA_Repair	Cz01g08150	AT1G79050	(1 of 1) PTHR45900:SF1 - MITOCHONDRIAL DNA REPAIR PROTEIN RECA HOMOLOG-RELATED	0.4204	0.344546	0.0286	0.957552	-0.5786	0.11498	-0.1868	0.52869
tRNA_Modification	Cz01g08160	AT3G19440	(1 of 2) 5.4.99.24 - 23S rRNA pseudouridine(955/2504/2580) synthase. / 23S rRNA pseudouridine(955/2504/2580) synthase.	0.0283	0.827919	0.2353	0.277977	0.1014	0.220895	-0.1056	0.431281
Chloroplast_Function	Cz01g08190	AT5G44520	(1 of 1) PTHR43748:SF1 - RIBOSE-5-PHOSPHATE ISOMERASE 4, CHLOROPLASTIC-RELATED	0.0797	0.571702	0.5323	0.093318	0.8777	0.017385	0.4251	0.046067
Translation	Cz01g08200	AT2G44860	(1 of 1) PTHR10792:SF8 - RIBOSOME BIOGENESIS PROTEIN RLP24-RELATED	-0.2001	0.446894	0.3133	0.386815	0.346	0.176694	-0.1674	0.341138
Translation	Cz01g08210	AT2G43460	(1 of 2) K02923 - large subunit ribosomal protein L38e (RP-L38e, RPL38)	-0.1291	0.410399	0.1257	0.697426	0.2259	0.072378	-0.0289	0.894261
ATP_Synthase	Cz01g08240	AT3G58730	(1 of 1) K02149 - V-type H+-transporting ATPase subunit D (ATPeV1D, ATP6M)	0.2118	0.299747	0.3578	0.064337	-0.3292	0.016448	-0.4752	0.048566
Thioredoxin_Peroxiredoxin	Cz01g08250	AT3G17880	(1 of 1) PTHR45883:SF7 - TPR REPEAT-CONTAINING THIOREDOXIN TDX	0.4764	0.271306	0.0824	0.873038	-1.0873	0.038178	-0.6933	0.07868
