og_id	c00	c01	c02	c03	c04	c05	c06	c07	c08	c09	c10	c11	c12	c13	c14	c15
37TP1	0.0455	0.0332	0.0158	0.0210	0.0094	0.0366	0.0064	0.0414	0.0281	0.0400	0.0430	0.0009	0.0000	0.0536	0.0017	0.0006
37TP2	0.8588	0.2394	0.2447	0.2422	0.1710	0.2115	0.2202	0.5030	0.2238	0.3314	0.6720	0.2627	0.0029	0.3818	0.0666	0.2521
37TP3	0.3120	0.1385	0.1571	0.1413	0.2445	0.1449	0.2133	0.4643	0.1148	0.2112	0.3033	0.0971	0.0082	0.1765	0.1025	0.0758
37TP4	0.0572	0.5381	0.2805	0.3160	0.2311	0.3130	0.3181	0.5046	0.4214	0.4638	0.1338	0.0172	0.0227	0.4787	1.3627	0.3185
37TP5	1.8291	1.2955	0.8700	0.7737	0.5791	0.9539	0.3633	1.7415	1.1963	1.5845	1.4625	1.1791	0.0406	1.5238	0.2243	0.1667
37TP6	1.7305	0.6133	0.2638	0.7230	0.1988	0.6084	0.8240	0.9236	0.4380	0.7128	1.5591	0.1496	0.0063	0.8165	0.0732	0.2472
37TP7	0.0005	0.0028	0.0651	0.0065	1.1319	0.0724	0.0003	0.0133	0.0679	0.1144	0.0085	0.8749	0.2528	0.0008	0.0397	0.0705
37TP8	1.8399	0.9181	1.2497	1.2182	0.5081	1.1574	1.0187	1.3705	1.0564	1.1654	1.7176	0.2339	0.2904	1.3368	0.1307	0.3119
37TP9	2.6436	1.1596	0.6344	1.2565	0.5216	1.2965	1.4483	1.3567	0.8247	1.0443	2.0179	0.3788	0.0262	1.3285	0.1879	0.6303
37TPA	0.0322	0.0381	0.0524	0.0521	0.0371	0.0699	0.0024	0.0445	0.0677	0.1247	0.0971	0.0031	0.0776	0.0900	0.0081	0.0000
37TPB	0.8537	1.0662	2.4233	0.7604	0.6189	0.9553	0.3489	1.3517	1.5579	0.9303	0.8128	0.5003	3.2548	0.9934	0.0976	0.2113
37TPC	0.0286	0.0983	0.1083	0.1106	0.0909	0.2707	0.1493	0.1359	0.0845	0.1214	0.0473	0.0687	0.0066	0.2439	0.1457	0.0925
37TPD	0.0002	0.0003	0.0077	0.0014	0.5297	0.0152	0.0000	0.0055	0.0128	0.0289	0.0000	0.2226	0.3679	0.0000	0.0058	0.0011
37TPE	0.2325	0.1868	0.1313	0.1963	0.1025	0.1955	0.1320	0.2516	0.1282	0.2002	0.2041	0.1002	0.0122	0.1854	0.0653	0.0182
37TPF	3.3172	2.5811	2.6916	2.9778	1.3967	3.3902	2.9817	3.1509	2.5049	2.7466	3.0809	0.6783	2.2200	3.2443	1.7185	1.5856
37TPG	0.6814	0.6044	1.4604	0.5139	0.3865	0.7169	0.3969	1.7105	0.7222	0.6157	0.9343	0.2104	0.6107	0.8178	0.1740	0.2767
37TPH	0.9247	1.6054	1.3133	1.6894	1.3571	2.0217	2.1890	1.6399	1.4031	1.6295	0.9098	0.6188	0.0682	1.7200	1.6672	0.5218
37TPI	0.2844	0.3937	0.2470	0.4473	0.2266	0.4104	0.5546	0.4429	0.3377	0.4033	0.2467	0.1795	0.2621	0.4166	0.3827	0.1292
37TPJ	3.5147	2.5706	3.0412	2.9482	2.1953	2.8967	3.0970	3.7148	2.6274	2.9039	3.5705	0.9745	1.0610	3.0700	1.2747	1.4910
37TPK	0.0006	0.0022	0.0321	0.0060	0.8341	0.0475	0.0013	0.0410	0.0172	0.0360	0.0013	0.7101	0.3692	0.0009	0.0432	0.0003
37TPM	1.6579	1.3498	1.5707	1.6282	0.8028	1.9196	1.7103	1.5893	1.2615	1.2615	1.5017	0.3626	0.5854	1.5543	0.5952	0.6304
37TPN	0.1218	0.1661	0.1089	0.0814	0.0692	0.1106	0.0493	0.2564	0.1550	0.2171	0.1106	0.0362	0.0103	0.1656	0.0190	0.0025
37TPP	0.4634	0.8812	0.7467	0.9318	0.7196	1.1211	1.5756	0.8876	0.6339	0.8023	0.4817	0.1307	0.0697	0.8471	1.1596	0.9508
37TPQ	0.0108	0.0208	0.0443	0.0197	0.6990	0.0363	0.0079	0.0847	0.0599	0.0820	0.0165	0.1909	0.0141	0.0185	0.0177	0.0242
