E-GEOD-62671		SRR1622091	characteristic	organism	Chlamydomonas reinhardtii	http://purl.obolibrary.org/obo/NCBITaxon_3055
E-GEOD-62671		SRR1622091	characteristic	organism part	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468
E-GEOD-62671		SRR1622091	characteristic	strain	dw15.1
E-GEOD-62671		SRR1622091	factor	sampling time point	zeitgeber time 3
E-GEOD-62671		SRR1622092	characteristic	growth condition	suspension cell culture medium
E-GEOD-62671		SRR1622092	characteristic	organism	Chlamydomonas reinhardtii	http://purl.obolibrary.org/obo/NCBITaxon_3055
E-GEOD-62671		SRR1622092	characteristic	organism part	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468
E-GEOD-62671		SRR1622092	characteristic	strain	dw15.1
E-GEOD-62671		SRR1622092	factor	sampling time point	zeitgeber time 3
E-GEOD-62671		SRR1622093	characteristic	growth condition	suspension cell culture medium
E-GEOD-62671		SRR1622093	characteristic	organism	Chlamydomonas reinhardtii	http://purl.obolibrary.org/obo/NCBITaxon_3055
E-GEOD-62671		SRR1622093	characteristic	organism part	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468
E-GEOD-62671		SRR1622093	characteristic	strain	dw15.1
E-GEOD-62671		SRR1622093	factor	sampling time point	zeitgeber time 0
E-GEOD-62671		SRR1622094	characteristic	growth condition	suspension cell culture medium
E-GEOD-62671		SRR1622094	characteristic	organism	Chlamydomonas reinhardtii	http://purl.obolibrary.org/obo/NCBITaxon_3055
E-GEOD-62671		SRR1622094	characteristic	organism part	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468
E-GEOD-62671		SRR1622094	characteristic	strain	dw15.1
E-GEOD-62671		SRR1622094	factor	sampling time point	zeitgeber time 0
