experiment_accession	assay	gene_id	specificity_score	marker_gene_rank	expression_unit	expression_level	gene_name	assay_id
E-GEOD-62671	zeitgeber time 6	CHLRE_06g270450v5	NULL	NULL	tpms	17	Cre06.g270450	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_06g270450v5	NULL	NULL	tpms	11	Cre06.g270450	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_09g390150v5	NULL	NULL	tpms	0.2	Cre09.g390150	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_09g390150v5	0.2584	3	tpms	8	Cre09.g390150	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_09g390150v5	NULL	NULL	tpms	2	Cre09.g390150	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_09g390150v5	NULL	NULL	tpms	0.1	Cre09.g390150	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_09g390150v5	NULL	NULL	tpms	2	Cre09.g390150	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_09g390150v5	NULL	NULL	tpms	1	Cre09.g390150	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_09g390150v5	NULL	NULL	tpms	2	Cre09.g390150	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_09g390150v5	NULL	NULL	tpms	0.8	Cre09.g390150	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_04g217941v5	NULL	NULL	tpms	0	Cre04.g217941	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_04g217941v5	0.2593	4	tpms	2	Cre04.g217941	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_04g217941v5	NULL	NULL	tpms	0.2	Cre04.g217941	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_04g217941v5	NULL	NULL	tpms	0	Cre04.g217941	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_04g217941v5	NULL	NULL	tpms	0.2	Cre04.g217941	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_04g217941v5	NULL	NULL	tpms	0.1	Cre04.g217941	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_04g217941v5	NULL	NULL	tpms	0.6	Cre04.g217941	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_04g217941v5	NULL	NULL	tpms	0.3	Cre04.g217941	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_11g467686v5	NULL	NULL	tpms	0	Cre11.g467686	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_11g467686v5	0.2647	5	tpms	3	Cre11.g467686	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_11g467686v5	NULL	NULL	tpms	0.4	Cre11.g467686	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_11g467686v5	NULL	NULL	tpms	0.1	Cre11.g467686	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_11g467686v5	NULL	NULL	tpms	0	Cre11.g467686	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_11g467686v5	NULL	NULL	tpms	0.1	Cre11.g467686	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_11g467686v5	NULL	NULL	tpms	0.3	Cre11.g467686	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_11g467686v5	NULL	NULL	tpms	0.7	Cre11.g467686	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_11g478025v5	NULL	NULL	tpms	0.1	Cre11.g478025	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_11g478025v5	0.2767	6	tpms	8	Cre11.g478025	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_11g478025v5	NULL	NULL	tpms	2	Cre11.g478025	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_11g478025v5	NULL	NULL	tpms	0.3	Cre11.g478025	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_11g478025v5	NULL	NULL	tpms	0	Cre11.g478025	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_11g478025v5	NULL	NULL	tpms	0.1	Cre11.g478025	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_11g478025v5	NULL	NULL	tpms	0.8	Cre11.g478025	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_11g478025v5	NULL	NULL	tpms	2	Cre11.g478025	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_10g425251v5	NULL	NULL	tpms	2	Cre10.g425251	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_10g425251v5	0.2967	7	tpms	9	Cre10.g425251	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_10g425251v5	NULL	NULL	tpms	2	Cre10.g425251	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_10g425251v5	NULL	NULL	tpms	0.1	Cre10.g425251	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_10g425251v5	NULL	NULL	tpms	3	Cre10.g425251	g5
