experiment_accession	assay	gene_id	specificity_score	marker_gene_rank	expression_unit	expression_level	gene_name	assay_id
E-GEOD-62671	zeitgeber time 3	CHLRE_06g270450v5	NULL	NULL	fpkms	4	Cre06.g270450	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_06g270450v5	NULL	NULL	fpkms	8	Cre06.g270450	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_06g270450v5	NULL	NULL	fpkms	5	Cre06.g270450	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_04g217941v5	NULL	NULL	fpkms	0	Cre04.g217941	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_04g217941v5	0.2446	3	fpkms	1	Cre04.g217941	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_04g217941v5	NULL	NULL	fpkms	0.1	Cre04.g217941	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_04g217941v5	NULL	NULL	fpkms	0	Cre04.g217941	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_04g217941v5	NULL	NULL	fpkms	0.1	Cre04.g217941	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_04g217941v5	NULL	NULL	fpkms	0.1	Cre04.g217941	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_04g217941v5	NULL	NULL	fpkms	0.3	Cre04.g217941	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_04g217941v5	NULL	NULL	fpkms	0.1	Cre04.g217941	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_11g467686v5	NULL	NULL	fpkms	0	Cre11.g467686	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_11g467686v5	0.2587	4	fpkms	1	Cre11.g467686	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_11g467686v5	NULL	NULL	fpkms	0.2	Cre11.g467686	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_11g467686v5	NULL	NULL	fpkms	0.1	Cre11.g467686	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_11g467686v5	NULL	NULL	fpkms	0	Cre11.g467686	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_11g467686v5	NULL	NULL	fpkms	0	Cre11.g467686	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_11g467686v5	NULL	NULL	fpkms	0.1	Cre11.g467686	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_11g467686v5	NULL	NULL	fpkms	0.4	Cre11.g467686	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_09g390150v5	NULL	NULL	fpkms	0.1	Cre09.g390150	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_09g390150v5	0.278	5	fpkms	4	Cre09.g390150	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_09g390150v5	NULL	NULL	fpkms	1	Cre09.g390150	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_09g390150v5	NULL	NULL	fpkms	0.1	Cre09.g390150	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_09g390150v5	NULL	NULL	fpkms	1	Cre09.g390150	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_09g390150v5	NULL	NULL	fpkms	0.6	Cre09.g390150	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_09g390150v5	NULL	NULL	fpkms	0.9	Cre09.g390150	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_09g390150v5	NULL	NULL	fpkms	0.4	Cre09.g390150	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_11g478025v5	NULL	NULL	fpkms	0.1	Cre11.g478025	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_11g478025v5	0.2963	6	fpkms	4	Cre11.g478025	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_11g478025v5	NULL	NULL	fpkms	1	Cre11.g478025	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_11g478025v5	NULL	NULL	fpkms	0.2	Cre11.g478025	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_11g478025v5	NULL	NULL	fpkms	0	Cre11.g478025	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_11g478025v5	NULL	NULL	fpkms	0.1	Cre11.g478025	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_11g478025v5	NULL	NULL	fpkms	0.4	Cre11.g478025	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_11g478025v5	NULL	NULL	fpkms	0.9	Cre11.g478025	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_10g425251v5	NULL	NULL	fpkms	0.8	Cre10.g425251	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_10g425251v5	0.2971	7	fpkms	4	Cre10.g425251	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_10g425251v5	NULL	NULL	fpkms	1	Cre10.g425251	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_10g425251v5	NULL	NULL	fpkms	0	Cre10.g425251	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_10g425251v5	NULL	NULL	fpkms	1	Cre10.g425251	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_10g425251v5	NULL	NULL	fpkms	0.8	Cre10.g425251	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_10g425251v5	NULL	NULL	fpkms	1	Cre10.g425251	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_10g425251v5	NULL	NULL	fpkms	1	Cre10.g425251	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_06g309000v5	NULL	NULL	fpkms	0.1	Cre06.g309000	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_06g309000v5	NULL	NULL	fpkms	0.1	Cre06.g309000	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_06g309000v5	NULL	NULL	fpkms	0.4	Cre06.g309000	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_06g309000v5	0.1448	1	fpkms	3	Cre06.g309000	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_06g309000v5	NULL	NULL	fpkms	0.5	Cre06.g309000	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_06g309000v5	NULL	NULL	fpkms	0.2	Cre06.g309000	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_06g309000v5	NULL	NULL	fpkms	0.1	Cre06.g309000	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_06g309000v5	NULL	NULL	fpkms	0	Cre06.g309000	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_12g492650v5	NULL	NULL	fpkms	2	Cre12.g492650	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_12g492650v5	NULL	NULL	fpkms	0.3	Cre12.g492650	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_12g492650v5	NULL	NULL	fpkms	0.6	Cre12.g492650	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_12g492650v5	0.1708	2	fpkms	14	Cre12.g492650	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_12g492650v5	NULL	NULL	fpkms	1	Cre12.g492650	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_12g492650v5	NULL	NULL	fpkms	1	Cre12.g492650	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_12g492650v5	NULL	NULL	fpkms	1	Cre12.g492650	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_12g492650v5	NULL	NULL	fpkms	2	Cre12.g492650	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_10g422300v5	NULL	NULL	fpkms	15	Cre10.g422300	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_10g422300v5	NULL	NULL	fpkms	0.7	Cre10.g422300	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_10g422300v5	NULL	NULL	fpkms	18	Cre10.g422300	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_10g422300v5	0.1763	3	fpkms	102	Cre10.g422300	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_10g422300v5	NULL	NULL	fpkms	17	Cre10.g422300	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_10g422300v5	NULL	NULL	fpkms	6	Cre10.g422300	g6
