GeneID	Gene Name	g1	g2	g3	g4	g5	g6	g7	g8
CHLRE_06g311350v5		77,78,79,80,80	49,51,52,54,55	34,35,35,36,36	45,45,46,46,47	87,89,90,91,92	69,69,70,71,71	60,62,63,65,67	29,30,31,32,33
CHLRE_06g311400v5		2,2,2,3,3	2,2,3,3,3	2,2,2,2,2	2,2,2,2,2	2,2,2,2,2	3,3,3,3,3	3,4,4,4,4	3,3,3,3,3
CHLRE_06g311450v5		8,8,9,9,9	13,14,14,14,14	10,10,10,10,10	5,5,5,5,5	11,11,11,11,12	8,8,8,9,9	9,9,9,10,10	10,11,11,11,11
CHLRE_06g311500v5		2,2,2,2,2	2,2,2,3,3	2,2,2,3,3	3,3,3,3,3	0.8,0.9,1,1,1	3,4,4,4,4	4,4,5,5,6	1,1,2,2,2
CHLRE_06g311550v5		14,14,14,15,15	7,8,9,10,11	5,5,5,6,6	6,6,6,6,6	11,11,12,12,12	14,14,14,15,15	17,17,18,18,18	12,13,13,13,14
CHLRE_06g311600v5		11,12,12,12,13	17,17,18,18,18	12,12,12,13,13	17,17,18,18,18	13,13,14,14,14	13,14,14,14,14	12,12,12,12,12	16,16,16,16,16
CHLRE_06g311650v5		9,9,10,10,10	14,14,14,14,14	9,10,10,10,11	8,8,8,8,8	9,9,9,9,9	13,13,13,14,14	17,17,18,18,18	16,17,18,19,20
CHLRE_06g311700v5		34,36,38,40,42	40,41,42,43,44	2,2,2,2,2	1,1,2,2,2	12,12,12,12,12	94,96,99,101,104	92,100,109,118,126	214,215,216,217,218
CHLRE_06g311750v5		13,14,14,15,15	15,15,15,16,16	6,7,7,7,7	13,13,14,14,14	9,10,10,10,10	18,19,19,20,21	18,19,19,19,20	20,21,21,22,22
CHLRE_06g311800v5		7,7,7,7,7	10,10,10,10,10	4,4,5,5,5	5,5,5,5,5	8,8,8,8,8	10,10,10,11,11	10,10,10,11,11	11,12,13,14,15
CHLRE_06g311850v5		34,34,34,34,34	82,82,83,84,85	51,52,53,54,55	30,31,32,33,34	61,62,63,64,65	44,44,44,44,44	42,42,42,42,42	56,58,59,61,63
CHLRE_06g311900v5	YPTC5	249,252,255,258,261	253,256,259,262,265	195,198,202,205,208	153,153,154,155,156	310,312,315,317,320	262,263,264,265,266	286,286,287,288,289	266,266,266,266,266
CHLRE_06g311950v5		12,12,12,13,13	26,27,27,28,28	15,15,15,15,16	12,12,12,13,13	19,20,21,23,24	13,14,14,15,15	15,15,15,16,16	19,20,22,23,24
CHLRE_07g312002v5		0,0,0,0.1,0.1	0,0.1,0.1,0.1,0.2	0,0,0,0,0.1	0,0,0,0,0	0.1,0.1,0.2,0.2,0.3	0.1,0.1,0.1,0.1,0.2	0.1,0.1,0.2,0.2,0.2	0.1,0.1,0.2,0.2,0.2
CHLRE_07g312050v5		14,14,15,15,15	15,15,15,15,15	6,6,6,6,6	9,9,9,9,9	5,5,5,5,5	12,13,13,14,15	13,13,13,14,14	12,13,13,13,14
CHLRE_07g312100v5		18,18,18,19,19	17,18,19,20,21	6,6,7,7,8	10,10,11,11,11	8,8,8,9,9	18,18,18,19,19	17,17,18,18,18	10,11,11,11,11
CHLRE_07g312150v5		5,5,5,6,6	14,14,15,15,15	9,10,10,10,10	6,6,6,6,7	7,7,7,7,7	5,5,5,5,5	5,5,5,5,5	5,5,5,5,6
CHLRE_07g312250v5		6,6,6,6,6	12,13,13,13,13	8,8,9,9,9	7,7,7,8,8	7,7,8,9,9	7,7,7,7,7	8,8,8,8,8	5,6,7,7,8
CHLRE_07g312300v5		76,76,77,78,79	120,122,124,127,129	82,83,85,86,87	41,41,41,42,42	87,88,89,90,92	114,117,119,121,123	104,108,113,117,122	100,101,102,104,105
CHLRE_07g312350v5		10,13,16,18,21	55,56,57,57,58	3,4,4,4,5	2,2,2,2,2	5,6,6,6,7	54,55,57,58,59	55,59,63,67,72	66,69,71,74,76
CHLRE_07g312400v5		7,7,7,7,7	15,16,16,16,17	9,9,9,9,9	7,7,7,7,7	10,10,10,10,10	10,10,10,10,10	12,12,12,12,12	11,11,11,11,11
CHLRE_07g312500v5		170,173,176,179,182	207,208,208,209,209	153,154,154,155,155	151,153,155,157,160	148,150,153,155,157	213,214,215,216,217	252,255,258,261,264	294,294,294,295,295
CHLRE_07g312550v5		1,1,1,1,1	3,3,4,4,4	3,3,3,3,3	2,2,3,3,3	1,1,1,1,1	2,2,2,2,3	4,4,4,4,4	4,4,4,4,4
CHLRE_07g312580v5		3,3,3,3,3	8,8,8,9,9	6,7,8,9,10	6,7,7,7,7	5,5,5,5,5	6,6,7,7,7	7,8,9,9,10	11,12,13,14,15
CHLRE_07g312600v5		0.3,0.3,0.3,0.3,0.3	0.8,1,1,1,2	0.6,0.6,0.6,0.6,0.7	0.3,0.3,0.3,0.3,0.3	0.4,0.5,0.6,0.7,0.7	0.1,0.3,0.5,0.6,0.8	0.5,0.6,0.6,0.6,0.7	0.3,0.4,0.5,0.6,0.7
CHLRE_07g312650v5		21,21,22,23,23	13,13,13,13,13	13,13,13,14,14	17,17,18,18,19	26,27,27,28,28	21,22,22,23,24	24,24,24,24,24	20,21,21,22,23
CHLRE_07g312701v5		0,0,0,0,0.1	0,0,0,0.1,0.1	0.1,0.1,0.1,0.1,0.1	0.2,0.2,0.2,0.2,0.2	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
CHLRE_07g312750v5		37,37,37,37,37	33,35,36,38,40	11,11,11,11,11	27,27,28,28,28	21,21,21,21,22	45,46,47,49,50	45,45,45,45,46	44,45,46,47,47
CHLRE_07g312800v5		15,16,16,16,16	12,12,12,13,13	8,8,9,9,10	10,10,10,10,10	21,21,22,22,22	13,14,14,14,14	15,15,16,16,17	10,10,11,11,12
CHLRE_07g312817v5		0,0,0.1,0.1,0.1	0,0,0,0,0	0,0,0.1,0.1,0.1	0,0,0,0,0	0,0,0.1,0.1,0.1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
CHLRE_07g312833v5		0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0.1,0.1,0.2
CHLRE_07g312850v5		52,53,54,56,57	55,62,69,76,83	56,57,58,59,60	21,22,23,23,24	49,50,50,51,52	100,100,100,101,101	97,99,101,104,106	169,171,172,173,174
CHLRE_07g312900v5		33,33,33,33,33	34,34,35,35,35	27,27,27,27,27	24,24,24,24,24	34,34,34,34,34	30,30,31,31,31	37,37,37,37,38	36,36,36,36,36
CHLRE_07g312950v5		53,56,59,62,65	69,70,71,71,72	55,56,57,57,58	44,45,47,48,49	101,102,103,104,105	58,58,58,58,58	62,63,65,67,68	54,55,56,56,57
