Pathway	GeneID	Symbol	Description	wtns_vs_wtc_log2FC	wtns_vs_wtc_padj	vipns_vs_vipc_log2FC	vipns_vs_vipc_padj	vipc_vs_wtc_log2FC	vipc_vs_wtc_padj	vipns_vs_wtns_log2FC	vipns_vs_wtns_padj
Serine	Cre01.g001200	Cre01.g001200	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity cytoplasm signal transduction	0.1923	0.938773	-0.5439	0.327143	0.6219	0.627762	-0.1143	0.942022
Ubiquitin_Proteasome	Cre01.g001300	Cre01.g001300	ubiquitin binding double-strand break repair via homologous recombination	1.7235	0.763672	3.3813	0.322247	0.6239	0.627762	2.2817	0.606213
Translation	Cre01.g001550	Cre01.g001550	translation initiation factor activity translational initiation translation cytoplasm ribosome binding ribosome disassembly	0.688	0.764391	0.9553	0.479134	0.7425	0.627762	1.0098	0.612633
Ubiquitin_Proteasome	Cre01.g001600	Cre01.g001600	cytoplasm ubiquitin ligase complex protein binding	-0.9809	0.763672	-0.1345	0.877197	0.1629	0.794609	1.0093	0.610123
Serine	Cre01.g001678	Cre01.g001678	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	0.6205	0.765014	0.4258	0.527027	0.8219	0.627762	0.6272	0.60926
Serine	Cre01.g001700	Cre01.g001700	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	0.3701	0.797075	0.4781	0.318569	0.9873	0.627762	1.0952	0.606213
Proline	Cre01.g001750	Cre01.g001750	peptidyl-prolyl cis-trans isomerase activity protein folding protein transport isomerase activity protein folding chaperone ribosome binding protein unfolding	0.2131	0.919378	-0.5523	0.270534	0.9493	0.627762	0.1838	0.853247
Serine	Cre01.g001800	Cre01.g001800	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity	-0.6051	0.765014	-0.6956	0.45159	0.4436	0.643424	0.353	0.760501
Vitamin_E_Tocopherol	Cre01.g002100	Cre01.g002100	kinase activity transferase activity metal ion binding chloroplast membrane zinc ion binding phytol kinase activity	0.7458	0.774794	0.4613	0.515808	1.1045	0.627762	0.82	0.610123
Proline	Cre01.g002300	Cre01.g002300	peptidyl-prolyl cis-trans isomerase activity protein folding protein peptidyl-prolyl isomerization isomerase activity cytoplasm cyclosporin A binding	-1.3194	0.763672	-1.5062	0.192197	0.2133	0.804437	0.0265	0.972004
Ubiquitin_Proteasome	Cre01.g002350	Cre01.g002350	NEDD8 activating enzyme activity protein neddylation ubiquitin-like modifier activating enzyme activity cytoplasm	0.1928	0.897604	-0.3993	0.511951	1.0667	0.627762	0.4746	0.621158
Serine	Cre01.g002550	Cre01.g002550	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity cytoplasm	1.1848	0.765014	0.4546	0.372438	0.6539	0.627762	-0.0763	0.957341
Inositol	Cre01.g002700	Cre01.g002700	late endosome membrane early endosome to late endosome transport early endosome membrane protein binding phosphatidylinositol 3-kinase regulator activity negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	-0.768	0.778445	0.3407	0.63294	0.6872	0.627762	1.796	0.606213
Translation	Cre01.g003376	Cre01.g003376	ribosome binding regulation of translational fidelity chromatin organization cytosol Hsp70 protein binding	1.1422	0.763672	0.8488	0.342071	1.1713	0.627762	0.878	0.606213
Serine	Cre01.g003524	Cre01.g003524	ATP binding protein kinase activity calcium ion binding protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity	0.697	0.769193	-0.3173	0.68423	0.9301	0.627762	-0.0841	0.948195
Serine	Cre01.g003800	Cre01.g003800	ATP binding protein kinase activity protein phosphorylation protein serine/threonine kinase activity signal transduction	2.0784	0.763672	2.4535	0.563529	-0.2649	0.837869	0.1102	0.967013
Asparagine	Cre01.g004300	Cre01.g004300	asparagine synthase (glutamine-hydrolyzing) activity nucleotide binding ATP binding ligase activity amino acid biosynthetic process cytosol L-asparagine biosynthetic process	-0.1541	0.921986	-0.4629	0.447794	0.4159	0.637243	0.107	0.891537
Ubiquitin_Proteasome	Cre01.g004350	Cre01.g004350	cytoplasm endosome protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway protein binding	0.3834	0.806543	-0.0474	0.919267	0.53	0.630269	0.0992	0.903122
Leucine	Cre01.g004500	Cre01.g004500	3-isopropylmalate dehydratase activity amino acid biosynthetic process hydro-lyase activity metal ion binding lyase activity iron-sulfur cluster binding L-leucine biosynthetic process oxoacid metabolic process intramolecular hydroxytransferase activity	-0.1607	0.921173	-0.2093	0.627282	0.6691	0.627762	0.6205	0.606213
Transcription	Cre01.g004600	Cre01.g004600	DNA-binding transcription factor activity DNA binding regulation of DNA-templated transcription nucleus DNA-binding transcription factor activity, RNA polymerase II-specific regulation of transcription by RNA polymerase II cis-regulatory region sequence-specific DNA binding response to starvation	2.3593	0.763672	1.6606	0.268711	0.1311	0.860315	-0.5675	0.66768
Glycine	Cre01.g005150	Cre01.g005150	transferase activity transaminase activity peroxisome L-serine-pyruvate transaminase activity alanine-glyoxylate transaminase activity glycine biosynthetic process, by transamination of glyoxylate	-1.5956	0.763672	-0.957	0.25516	0.3332	0.655792	0.9718	0.606213
Chaperone	Cre01.g005500	Cre01.g005500	endoplasmic reticulum vacuolar membrane polyphosphate biosynthetic process vacuolar transporter chaperone complex	0.3705	0.859427	0.288	0.707034	0.6464	0.637243	0.5639	0.652364
Serine	Cre01.g005813	Cre01.g005813	protein serine/threonine kinase activity	1.0313	0.763672	0.8518	0.231344	1.1179	0.627762	0.9384	0.606213
Vitamin_B12_Cobalamin	Cre01.g005850	Cre01.g005850	transferase activity nucleotide binding ATP binding corrinoid adenosyltransferase activity cobalamin metabolic process	-1.0562	0.763672	-1.6335	0.291689	1.1401	0.627762	0.5628	0.625492
Ubiquitin_Proteasome	Cre01.g005900	Cre01.g005900	SCF ubiquitin ligase complex protein binding	0.091	0.946001	0.2341	0.63294	0.4098	0.627762	0.5529	0.619953
Inositol	Cre01.g006800	Cre01.g006800	glycosyltransferase activity GPI anchor biosynthetic process transferase activity glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex phosphatidylinositol N-acetylglucosaminyltransferase activity	0.4483	0.849326	-0.0188	0.975367	0.3044	0.796245	-0.1627	0.874197
Ubiquitin_Proteasome	Cre01.g007150	Cre01.g007150	cytoplasm proteasome-mediated ubiquitin-dependent protein catabolic process protein-macromolecule adaptor activity GID complex cytoskeleton organization protein binding	0.3168	0.857108	0.1808	0.746819	0.5885	0.630269	0.4525	0.659806
Cysteine	Cre01.g007200	Cre01.g007200	transferase activity acyltransferase activity protein-cysteine S-palmitoyltransferase activity Golgi apparatus endoplasmic reticulum palmitoyltransferase activity protein targeting to membrane endomembrane system	0.3982	0.858018	0.8372	0.454359	-1.147	0.634381	-0.7081	0.657206
Ubiquitin_Proteasome	Cre01.g007350	Cre01.g007350	metal ion binding ubiquitin protein ligase activity proteasome-mediated ubiquitin-dependent protein catabolic process	-1.6504	0.763672	-2.935	0.203062	0.3409	0.720525	-0.9438	0.610123
Methionine	Cre01.g007450	Cre01.g007450	membrane mitochondrial inner membrane S-adenosyl-L-methionine transmembrane transporter activity	7.3392	0.763672	8.3566	0.268425	0	NA	1.0174	0.606213
Folate	Cre01.g007737	Cre01.g007737	membrane folic acid transmembrane transporter activity folate transmembrane transport	-0.1253	0.924939	0.2365	0.800343	0.1987	0.776791	0.5605	0.66768
Serine	Cre01.g008150	Cre01.g008150	ATP binding protein kinase activity protein phosphorylation nucleus cytoplasm protein serine/threonine kinase activity intracellular signal transduction	0.3747	0.765014	0.4333	0.419946	0.2118	0.734528	0.2704	0.66768
Protein_Kinase_Signalling	Cre01.g008402	Cre01.g008402	ATP binding protein kinase activity protein phosphorylation cytoplasm signal transduction	4.3159	0.763672	2.6746	0.198245	1.6101	0.627762	-0.0312	0.96063
Serine	Cre01.g008550	Cre01.g008550	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity	-1.9383	0.763672	-1.2932	0.288188	0.9868	0.627762	1.6319	0.606213
Serine	Cre01.g008650	Cre01.g008650	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity nucleus cytoplasm intracellular signal transduction	1.8411	0.763672	1.4541	0.341469	0.9961	0.627762	0.6091	0.651807
Phospholipid_Biosynthesis	Cre01.g009300	Cre01.g009300	phosphatase activity protein binding phosphatidylinositol metabolic process	-0.3846	0.835256	-0.0216	0.975026	0.7157	0.627762	1.0787	0.606213
Arginine	Cre01.g009350	Cre01.g009350	protein-arginine deiminase activity putrescine biosynthetic process agmatine deiminase activity hydrolase activity	2.0986	0.763672	2.3915	0.251608	-0.5902	0.637243	-0.2973	0.66768
Serine	Cre01.g009500	Cre01.g009500	ATP binding protein kinase activity calcium ion binding protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity nucleus cytoplasm intracellular signal transduction calmodulin binding calcium-dependent protein serine/threonine kinase activity calcium/calmodulin-dependent protein kinase activity	-1.079	0.783137	-0.4546	0.633556	2.9786	0.627762	3.6031	0.606213
Transcription	Cre01.g009575	Cre01.g009575	regulation of DNA-templated transcription DNA-binding transcription factor activity DNA binding nucleus	3.1171	0.763672	0.9611	0.65987	1.4422	0.646792	-0.7138	0.707665
Transcription	Cre01.g009650	Cre01.g009650	regulation of DNA-templated transcription DNA-binding transcription factor activity DNA binding nucleus	1.5236	0.763672	1.2163	0.557523	-0.5176	0.712627	-0.8249	0.662867
Serine	Cre01.g009700	Cre01.g009700	protein serine/threonine phosphatase activity	-0.2006	0.900418	0.0923	0.896086	0.4752	0.637243	0.768	0.606213
Serine	Cre01.g010000	Cre01.g010000	ATP binding protein kinase activity protein phosphorylation MAP kinase activity transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity MAPK cascade nucleus cytoplasm intracellular signal transduction	-0.0244	0.994255	0.046	0.968962	0.5816	0.731316	0.652	0.614764
Serine	Cre01.g010250	Cre01.g010250	protein serine/threonine phosphatase activity	-0.3925	0.883167	0.2046	0.866047	0.4029	0.757702	0.9999	0.631541
Cysteine	Cre01.g010800	Cre01.g010800	cysteine-type deubiquitinase activity protein deubiquitination hydrolase activity peptidase activity proteolysis cysteine-type peptidase activity	0.0322	0.976357	0.2875	0.68479	0.6353	0.627762	0.8906	0.606213
Cysteine	Cre01.g010832	Cre01.g010832	proteolysis cysteine-type peptidase activity cysteine-type endopeptidase activity extracellular space lysosome	-3.1869	0.763672	0.019	0.992412	0.9963	0.627762	4.2022	0.643729
Vitamin_B6_Pyridoxine	Cre01.g010848	Cre01.g010848	pyridoxal phosphate binding cytoplasm	0.3241	0.889519	0.0531	0.925524	0.8171	0.627762	0.5461	0.66768
Translation	Cre01.g011000	Cre01.g011000	translation ribosome structural constituent of ribosome RNA binding cytoplasmic translation cytosolic large ribosomal subunit ribonucleoprotein complex	-0.3631	0.861063	0.3326	0.588935	0.322	0.674036	1.0177	0.606213
Translation	Cre01.g011200	Cre01.g011200	transcription initiation at RNA polymerase II promoter transcription factor TFIID complex nucleus RNA polymerase II general transcription initiation factor activity	-0.4044	0.805471	-0.1083	0.830272	0.9493	0.627762	1.2454	0.606213
Serine	Cre01.g011300	Cre01.g011300	proteolysis serine-type carboxypeptidase activity hydrolase activity peptidase activity carboxypeptidase activity	-1.7026	0.763672	-1.3718	0.140866	0.5736	0.627762	0.9043	0.606213
Translation	Cre01.g011350	Cre01.g011350	nucleus transcription initiation at RNA polymerase II promoter protein heterodimerization activity transcription factor TFIID complex RNA polymerase II general transcription initiation factor activity	-0.1125	0.955395	-1.0747	0.1958	0.7185	0.627762	-0.2437	0.715845
Ubiquitin_Proteasome	Cre01.g011500	Cre01.g011500	peptidase activity metallopeptidase activity hydrolase activity metal ion binding proteolysis proteasome complex nucleus proteasome regulatory particle, lid subcomplex proteasome-mediated ubiquitin-dependent protein catabolic process proteasome binding protein binding	-0.3907	0.871082	-0.8545	0.206102	0.7168	0.629093	0.2529	0.715845
Serine	Cre01.g011800	Cre01.g011800	ATP binding protein kinase activity protein phosphorylation protein serine/threonine kinase activity signal transduction	2.562	0.763672	1.4985	0.178257	1.1136	0.637243	0.0502	0.951256
Serine	Cre01.g011850	Cre01.g011850	ATP binding protein kinase activity protein phosphorylation protein serine/threonine kinase activity signal transduction	2.3479	0.763672	1.1403	0.382537	1.6525	0.627762	0.4449	0.687109
Proline	Cre01.g012150	Cre01.g012150	peptidyl-prolyl cis-trans isomerase activity peptide-methionine (S)-S-oxide reductase activity oxidoreductase activity isomerase activity cytoplasm cellular response to oxidative stress	-0.3968	0.907194	-1.229	0.304425	0.8806	0.633067	0.0484	0.955031
Transcription	Cre01.g012350	Cre01.g012350	regulation of DNA-templated transcription DNA binding nucleolus transcription factor binding nucleus	-0.3932	0.845205	0.6374	0.594782	-0.0629	0.954489	0.9677	0.619638
Ubiquitin_Proteasome	Cre01.g012450	Cre01.g012450	ubiquitin-protein transferase activity transferase activity cytoplasm ubiquitin protein ligase activity ubiquitin-dependent protein catabolic process protein ubiquitination protein binding	0.8263	0.763672	0.8436	0.238246	0.653	0.627762	0.6703	0.606213
Purine	Cre01.g012600	Cre01.g012600	carbohydrate metabolic process magnesium ion binding intramolecular phosphotransferase activity metal ion binding isomerase activity phosphoglucomutase activity purine ribonucleoside salvage phosphopentomutase activity	-0.4134	0.886665	-0.5908	0.215784	0.4148	0.721723	0.2374	0.811988
Protein_Kinase_Signalling	Cre01.g012950	Cre01.g012950	ATP binding protein kinase activity protein phosphorylation plasma membrane	4.6197	0.763672	4.6325	0.263919	1.4258	0.627762	1.4386	0.606213
Serine	Cre01.g013300	Cre01.g013300	serine-type endopeptidase activity proteolysis hydrolase activity peptidase activity serine-type peptidase activity protein binding	-0.4933	0.792093	-0.5079	0.441571	0.7516	0.627762	0.737	0.610123
Vitamin_E_Tocopherol	Cre01.g013801	Cre01.g013801	tocopherol cyclase activity	-1.0281	0.765014	-0.8783	0.274236	0.7441	0.627762	0.8939	0.606213
Protein_Kinase_Signalling	Cre01.g013900	Cre01.g013900	protein kinase activity protein phosphorylation	0.4925	0.784993	-0.1486	0.804217	1.0589	0.627762	0.4178	0.631541
ROS_Scavenging	Cre01.g014350	Cre01.g014350	oxidoreductase activity cellular response to oxidative stress thioredoxin peroxidase activity cellular oxidant detoxification peroxidase activity antioxidant activity cytoplasm cell redox homeostasis hydrogen peroxide catabolic process	-0.2603	0.888987	-0.9768	0.200814	0.6782	0.627762	-0.0383	0.958472
Tyrosine	Cre01.g014500	Cre01.g014500	ATP binding protein kinase activity protein phosphorylation protein tyrosine kinase activity nucleotide binding plasma membrane	1.2594	0.763672	1.6136	0.256326	0.8096	0.628859	1.1637	0.606213
Serine	Cre01.g014600	Cre01.g014600	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity	-0.3999	0.838713	-1.1662	0.182565	0.7354	0.627762	-0.031	0.971327
Proline	Cre01.g014650	Cre01.g014650	iron ion binding oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen L-ascorbic acid binding oxidoreductase activity metal ion binding endoplasmic reticulum membrane dioxygenase activity endoplasmic reticulum procollagen-proline 4-dioxygenase activity	-0.013	0.994564	-0.4622	0.460486	0.483	0.637243	0.0338	0.971674
Ubiquitin_Proteasome	Cre01.g014850	Cre01.g014850	ubiquitin ligase complex cullin family protein binding protein neddylation ubiquitin conjugating enzyme binding ubiquitin-like protein binding	-0.2472	0.948691	-0.4914	0.584322	0.8209	0.647021	0.5767	0.66768
Arginine	Cre01.g015000	Cre01.g015000	ATP binding acetylglutamate kinase activity L-arginine biosynthetic process cytoplasm kinase activity transferase activity nucleotide binding amino acid biosynthetic process	0.5017	0.826136	0.9309	0.459964	0.4698	0.667252	0.899	0.614764
cAMP_Signalling	Cre01.g015200	Cre01.g015200	signal transduction phosphoric diester hydrolase activity 3',5'-cyclic-nucleotide phosphodiesterase activity hydrolase activity metal ion binding catalytic activity 3',5'-cyclic-AMP phosphodiesterase activity 3',5'-cyclic-GMP phosphodiesterase activity	1.7481	0.763672	1.6976	0.193384	0.454	0.714405	0.4035	0.630437
Protein_Kinase_Signalling	Cre01.g015600	Cre01.g015600	cytosol regulation of translation protein kinase regulator activity cellular response to amino acid starvation	-0.4998	0.765014	-0.7847	0.404165	0.4045	0.637243	0.1196	0.883658
Purine	Cre01.g016514	Cre01.g016514	oxidoreductase activity oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor nucleotide binding mitochondrion flavin adenine dinucleotide binding oxoglutarate dehydrogenase complex dihydrolipoyl dehydrogenase (NADH) activity 2-oxoglutarate metabolic process	-1.063	0.765014	-0.0939	0.958082	-0.8034	0.653635	0.1656	0.945699
Methionine	Cre01.g016528	Cre01.g016528	metal ion binding cytoplasm magnesium ion binding L-methionine salvage from methylthioadenosine acireductone synthase activity hydrolase activity catalytic activity amino acid biosynthetic process lyase activity zinc ion binding methylthioribulose 1-phosphate dehydratase activity	-1.4388	0.763672	-1.369	0.159438	0.7279	0.627762	0.7977	0.606213
Protein_Kinase_Signalling	Cre01.g016556	Cre01.g016556	protein kinase regulator activity protein kinase CK2 complex cytoplasm	-1.0185	0.763672	-0.2224	0.783896	0.1977	0.793357	0.9938	0.610123
Serine	Cre01.g016570	Cre01.g016570	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity cytosol MAPK cascade	-0.461	0.845814	-0.0131	0.988387	0.009	0.993774	0.457	0.637313
Photosynthesis	Cre01.g016600	Cre01.g016600	photosynthesis photosystem II chloroplast thylakoid membrane nonphotochemical quenching	5.7167	0.765014	3.3437	0.445287	1.026	0.637243	-1.347	0.723334
Photosynthesis	Cre01.g016750	Cre01.g016750	photosynthesis photosystem II chloroplast thylakoid membrane nonphotochemical quenching	4.9571	0.763672	2.0244	0.594782	0	NA	-2.9327	0.611812
Ubiquitin_Proteasome	Cre01.g016800	Cre01.g016800	protein ubiquitination ubiquitin-protein transferase activity ubiquitin protein ligase activity	0.6104	0.765014	0.3936	0.579037	0.2791	0.785735	0.0622	0.939349
Wax_Cutin	Cre01.g016950	Cre01.g016950	protein prenylation protein prenyltransferase activity transferase activity cytoplasm prenyltransferase activity protein farnesyltransferase activity CAAX-protein geranylgeranyltransferase activity CAAX-protein geranylgeranyltransferase complex protein farnesyltransferase complex peptide pheromone maturation	0.3905	0.766691	0.7428	0.437604	0.7991	0.627762	1.1514	0.606213
Proline	Cre01.g017200	Cre01.g017200	peptidyl-prolyl cis-trans isomerase activity isomerase activity protein binding	0.4842	0.776315	0.386	0.480709	0.4839	0.645985	0.3857	0.622917
Translation	Cre01.g017500	Cre01.g017500	ribosome biogenesis cytosolic ribosome assembly nucleus cytoplasm	-0.2977	0.855414	-0.2695	0.687264	0.888	0.627762	0.9162	0.606213
Inositol	Cre01.g018400	Cre01.g018400	ATP binding magnesium ion binding inositol trisphosphate metabolic process inositol-3,4,5,6-tetrakisphosphate 1-kinase activity inositol-1,3,4-trisphosphate 6-kinase activity inositol-1,3,4-trisphosphate 5-kinase activity transferase activity kinase activity nucleotide binding metal ion binding	0.9407	0.765014	0.8943	0.375837	0.7188	0.63713	0.6724	0.616056
Lysine	Cre01.g018500	Cre01.g018500	magnesium ion binding holo-[acyl-carrier-protein] synthase activity transferase activity cytosol lysine biosynthetic process via aminoadipic acid	-0.3658	0.895439	-0.5403	0.477142	1.128	0.627762	0.9535	0.610506
cAMP_Signalling	Cre01.g018550	Cre01.g018550	intracellular signal transduction cyclic nucleotide biosynthetic process adenylate cyclase activity cAMP biosynthetic process	0.3464	0.852209	-0.0931	0.741501	1.0782	0.627762	0.6387	0.606213
RNA_Processing	Cre01.g018850	Cre01.g018850	catalytic activity 3'-5'-RNA exonuclease activity	-0.2948	0.813652	0.3069	0.676413	-0.0377	0.961204	0.564	0.610123
Ubiquitin_Proteasome	Cre01.g018900	Cre01.g018900	zinc ion binding transferase activity metal ion binding cytoplasm ubiquitin protein ligase activity ubiquitin-dependent protein catabolic process ubiquitin ligase complex ubiquitin conjugating enzyme binding protein binding	0.4618	0.765014	1.1097	0.455902	0.4819	0.637243	1.1299	0.610123
Lysine	Cre01.g018950	Cre01.g018950	peptidyl-lysine modification to peptidyl-hypusine transferase activity cytoplasm deoxyhypusine synthase activity spermidine metabolic process	0.5948	0.81908	0.7985	0.456273	0.0212	0.970571	0.225	0.881235
Ubiquitin_Proteasome	Cre01.g019450	Cre01.g019450	nucleus protein sumoylation SUMO conjugating enzyme activity	-1.1171	0.765014	-1.6466	0.280986	0.6299	0.635112	0.1004	0.955181
Translation	Cre01.g019750	Cre01.g019750	ATP binding DNA binding DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity DNA topological change nucleus nucleotide binding DNA topoisomerase activity isomerase activity DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex cytosol structural constituent of ribosome small ribosomal subunit identical protein binding	0.1216	0.921539	0.257	0.650401	0.5263	0.627762	0.6617	0.606213
Chaperone	Cre01.g019950	Cre01.g019950	protein folding cytosol protein-folding chaperone binding	5.7312	0.763672	5.9103	0.274236	0.2908	0.886001	0.4699	0.724307
Inositol	Cre01.g020264	Cre01.g020264	autophagy autophagosome assembly cellular response to nitrogen starvation phagophore assembly site late endosome to vacuole transport phosphatidylinositol 3-kinase complex, class III, type I phosphatidylinositol 3-kinase complex, class III, type II protein-macromolecule adaptor activity mitophagy phosphatidylinositol 3-kinase binding	0.4063	0.841268	0.278	0.697629	0.879	0.627762	0.7506	0.616056
Translation	Cre01.g020950	Cre01.g020950	nucleus ribosome biogenesis ribosomal large subunit biogenesis nucleolus preribosome, large subunit precursor endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) protein binding	-0.5205	0.765014	-0.3804	0.631497	0.6132	0.633399	0.7534	0.606213
Methionine	Cre01.g021150	Cre01.g021150	tRNA (uracil(54)-C5)-methyltransferase activity, S-adenosyl methionine-dependent RNA methyltransferase activity RNA processing transferase activity methyltransferase activity methylation tRNA processing cytosol rRNA binding tRNA binding RNA modification S-adenosylmethionine-dependent methyltransferase activity	0.5633	0.776634	0.9204	0.367053	0.72	0.627762	1.0771	0.606213
Arginine	Cre01.g021251	Cre01.g021251	catalytic activity argininosuccinate lyase activity L-arginine biosynthetic process via ornithine L-arginine biosynthetic process amino acid biosynthetic process lyase activity cytosol	0.5206	0.784276	0.5516	0.361944	1.0123	0.627762	1.0433	0.606213
Vitamin_E_Tocopherol	Cre01.g021550	Cre01.g021550	kinase activity transferase activity metal ion binding chloroplast membrane zinc ion binding phytol kinase activity	1.3497	0.765014	0.6929	0.307719	1.1019	0.627762	0.4451	0.693218
RNA_Processing	Cre01.g021600	Cre01.g021600	ATP binding nucleic acid binding RNA helicase activity nucleotide binding helicase activity hydrolase activity mRNA binding protein binding	1.3255	0.763672	0.1469	0.693239	1.1133	0.627762	-0.0653	0.940643
RNA_Processing	Cre01.g021850	Cre01.g021850	ATP binding nucleic acid binding nucleotide binding helicase activity hydrolase activity RNA binding RNA helicase activity	0.4488	0.823203	0.889	0.325004	0.8523	0.631533	1.2925	0.606213
Ubiquitin_Proteasome	Cre01.g022100	Cre01.g022100	ubiquitin-protein transferase activity transferase activity cytoplasm ubiquitin protein ligase activity ubiquitin-dependent protein catabolic process	0.3242	0.825574	-0.031	0.963231	0.6004	0.627762	0.2452	0.77169
Translation	Cre01.g022250	Cre01.g022250	translation ribosome structural constituent of ribosome mitochondrial large ribosomal subunit ribonucleoprotein complex	-0.2157	0.889456	-0.0605	0.942489	1.1601	0.627762	1.3153	0.606213
RNA_Processing	Cre01.g022350	Cre01.g022350	ATP binding nucleic acid binding RNA helicase activity nucleotide binding RNA binding helicase activity hydrolase activity nucleolus	-0.118	0.944654	0.081	0.89951	0.5142	0.63713	0.7131	0.606213
Alanine	Cre01.g022650	Cre01.g022650	hydrolase activity beta-ureidopropionase activity beta-alanine biosynthetic process via 3-ureidopropionate hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides cytosol	0.3886	0.871008	-1.127	0.573599	0.8238	0.66863	-0.6918	0.637661
Transcription	Cre01.g023100	Cre01.g023100	regulation of DNA-templated transcription DNA-binding transcription factor activity DNA binding nucleus	0.188	0.973339	0.3586	0.912766	0.7136	0.780121	0.8842	0.840373
Serine	Cre01.g024550	Cre01.g024550	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	1.1271	0.765014	0.4767	0.566983	0.6253	0.65828	-0.025	0.984861
Serine	Cre01.g024650	Cre01.g024650	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	0.7037	0.765014	0.1911	0.712322	0.6999	0.634381	0.1874	0.835587
Serine	Cre01.g024750	Cre01.g024750	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	1.8783	0.763672	1.8017	0.230861	0.8413	0.627762	0.7648	0.606213
Serine	Cre01.g024800	Cre01.g024800	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	2.3092	0.763672	2.3952	0.268425	0.6949	0.634381	0.7808	0.606213
Tyrosine	Cre01.g024850	Cre01.g024850	protein tyrosine phosphatase activity positive regulation of cell cycle G2/M phase transition hydrolase activity catalytic activity phosphoprotein phosphatase activity nucleus cytoplasm cell division protein dephosphorylation	0.9826	0.763672	1.2461	0.259377	0.7507	0.627762	1.0142	0.606213
Vitamin_B2_Riboflavin	Cre01.g025250	Cre01.g025250	riboflavin kinase activity riboflavin biosynthetic process transferase activity nucleotide binding ATP binding FMN biosynthetic process riboflavin metabolic process	0.5343	0.768381	0.1729	0.68479	0.9967	0.627762	0.6353	0.606213
Vitamin_C_Ascorbate	Cre01.g025850	Cre01.g025850	iron ion binding cytoplasm inositol catabolic process inositol oxygenase activity oxidoreductase activity metal ion binding L-ascorbic acid biosynthetic process	0.1904	0.879848	-0.4561	0.49831	1.518	0.627762	0.8714	0.606683
RNA_Processing	Cre01.g026100	Cre01.g026100	tRNA 5'-leader removal ribonuclease P complex tRNA processing ribonucleoprotein complex endoribonuclease complex nucleolus ribonuclease MRP complex ribonuclease P RNA binding multimeric ribonuclease P complex	-0.4656	0.848656	-0.1364	0.80064	0.7886	0.627762	1.1178	0.606213
Aspartate	Cre01.g026500	Cre01.g026500	proteolysis aspartic-type endopeptidase activity membrane hydrolase activity peptidase activity	-3.3268	0.763672	-4.1141	0.189309	0.3483	0.732727	-0.439	0.811988
Ubiquitin_Proteasome	Cre01.g026600	Cre01.g026600	nucleotide binding ATP binding nucleus postreplication repair protein K63-linked ubiquitination ubiquitin conjugating enzyme activity	-0.0603	0.973423	-0.7475	0.268425	0.4775	0.637243	-0.2097	0.794118
Vitamin_B2_Riboflavin	Cre01.g026900	Cre01.g026900	FAD binding monooxygenase activity kynurenine 3-monooxygenase activity kynurenine metabolic process	-0.0619	0.977368	-0.9025	0.20595	0.7085	0.627762	-0.1321	0.915252
Translation	Cre01.g027000	Cre01.g027000	translation ribosome structural constituent of ribosome nucleus RNA binding cytoplasm cytosolic large ribosomal subunit rRNA binding ribonucleoprotein complex	0.4396	0.823203	1.2593	0.348387	0.623	0.627762	1.4427	0.606213
