Pathway	GeneID	Symbol	Description	wtns_vs_wtc_log2FC	wtns_vs_wtc_padj	vipns_vs_vipc_log2FC	vipns_vs_vipc_padj	vipc_vs_wtc_log2FC	vipc_vs_wtc_padj	vipns_vs_wtns_log2FC	vipns_vs_wtns_padj
Glycolysis	Cre08.g378150	Cre08.g378150	NADP binding glucose metabolic process oxidoreductase activity, acting on CH-OH group of donors glucose-6-phosphate dehydrogenase activity oxidoreductase activity pentose-phosphate shunt pentose-phosphate shunt, oxidative branch	1.6195	0.763672	1.5331	0.296891	0.1616	0.817235	0.0753	0.922968
Vitamin_B2_Riboflavin	Cre08.g378200	Cre08.g378200	FMN binding pyridoxamine phosphate oxidase activity pyridoxine biosynthetic process oxidoreductase activity nucleotide binding metal ion binding isomerase activity oxidoreductase activity, acting on the CH-NH2 group of donors NAD(P)HX epimerase activity pyridoxal phosphate biosynthetic process	0.0536	0.976554	-0.0614	0.916174	0.8931	0.627762	0.7781	0.606213
Purine	Cre08.g378650	Cre08.g378650	ureidoglycolate hydrolase activity allantoin catabolic process lyase activity purine nucleobase metabolic process ureidoglycolate lyase activity	-1.3104	0.765014	-0.8267	0.2416	1.2193	0.627762	1.703	0.606213
Purine	Cre08.g378850	Cre08.g378850	magnesium ion binding ribose phosphate diphosphokinase activity nucleotide biosynthetic process transferase activity kinase activity nucleotide binding ATP binding metal ion binding cytoplasm purine nucleotide biosynthetic process 5-phosphoribose 1-diphosphate biosynthetic process ribose phosphate diphosphokinase complex	-0.3223	0.838713	-0.0356	0.932033	0.6389	0.627762	0.9256	0.606213
Serine	Cre08.g378950	Cre08.g378950	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity cytoplasm signal transduction	0	NA	0	NA	0	NA	0	NA
Serine	Cre08.g379500	Cre08.g379500	ATP binding protein kinase activity protein phosphorylation protein serine/threonine kinase activity signal transduction	0.4798	0.774078	0.7784	0.385415	0.2636	0.73374	0.5622	0.625479
Serine	Cre08.g379600	Cre08.g379600	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	-0.3013	0.905225	0.5409	0.607896	0.6175	0.637243	1.4598	0.606213
Serine	Cre08.g379850	Cre08.g379850	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	1.5499	0.763672	1.8315	0.17501	1.1365	0.627762	1.4181	0.606213
Proline	Cre08.g379950	Cre08.g379950	iron ion binding oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen L-ascorbic acid binding oxidoreductase activity metal ion binding endoplasmic reticulum membrane dioxygenase activity endoplasmic reticulum procollagen-proline 4-dioxygenase activity	-0.498	0.800282	-0.0553	0.951007	0.2216	0.788452	0.6643	0.665961
Pentose_Phosphate	Cre08.g380250	Cre08.g380250	chloroplast negative regulation of reductive pentose-phosphate cycle	-0.8546	0.788903	-1.3631	0.210927	0.4096	0.726859	-0.0989	0.929379
Methionine	Cre08.g380300	Cre08.g380300	peptide-methionine (S)-S-oxide reductase activity oxidoreductase activity cytoplasm cellular response to oxidative stress	-0.0058	0.997278	0.1215	0.836363	0.4263	0.643424	0.5536	0.632306
Protein_Kinase_Signalling	Cre08.g380452	Cre08.g380452	ATP binding protein kinase activity protein phosphorylation	1.0884	0.763672	1.0257	0.294825	0.9662	0.627762	0.9035	0.606213
Serine	Cre08.g380600	Cre08.g380600	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity nucleus regulation of RNA splicing	1.32	0.763672	1.1434	0.268711	0.5801	0.627762	0.4036	0.62696
Cysteine	Cre08.g381050	Cre08.g381050	proteolysis cysteine-type peptidase activity cysteine-type endopeptidase activity extracellular space lysosome	-0.2932	0.846694	-0.5334	0.406507	0.6097	0.627762	0.3695	0.713174
Vitamin_E_Tocopherol	Cre08.g381400	Cre08.g381400	kinase activity transferase activity metal ion binding chloroplast membrane zinc ion binding phytol kinase activity	-0.3072	0.843821	0.3866	0.518194	0.047	0.943665	0.7408	0.606213
TCA_Cycle	Cre08.g381702	Cre08.g381702	oxidoreductase activity oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor succinate-semialdehyde dehydrogenase (NAD+) activity gamma-aminobutyric acid catabolic process	0.3413	0.834472	0.189	0.711147	1.1962	0.627762	1.0439	0.606213
Ubiquitin_Proteasome	Cre08.g381900	Cre08.g381900	transferase activity metal ion binding zinc ion binding ubiquitin protein ligase activity endomembrane system proteasome-mediated ubiquitin-dependent protein catabolic process	9e-04	0.999827	0.56	0.426014	0.5948	0.627762	1.154	0.606213
