Pathway	GeneID	Symbol	Description	Salt_vs_Control_log2FC	Salt_vs_Control_padj	PEG_vs_Control_log2FC	PEG_vs_Control_padj
Fatty Acids	Cluster-1469.0	Cluster-1469.0	predicted protein [Phaeodactylum tricornutum CCAP 1055/1]>gi|217405301|gb|EEC45244.1| predicted protein [Phaeodactylum tricornutum CCAP 1055/1]>gi|402171515|gb|AFQ33496.1| palmitoyl-CoA delta 9-desaturase [Phaeodactylum tricornutum]	0	NA	17.4775448435861	NA
Fatty Acids	Cluster-3653.0	Cluster-3653.0	delta 4-desaturase [Thraustochytrium aureum]	0	NA	19.6757313875145	NA
Fatty Acids	Cluster-4803.0	Cluster-4803.0	fatty acid elongase [Chondrus crispus]>gi|507111208|emb|CDF34939.1| fatty acid elongase [Chondrus crispus]	0	NA	19.4526213169485	NA
Proline	Cluster-5535.0	Cluster-5535.0	1-pyrroline-5-carboxylate dehydrogenase [Galdieria sulphuraria]>gi|452821718|gb|EME28745.1| 1-pyrroline-5-carboxylate dehydrogenase [Galdieria sulphuraria]	0	NA	0	NA
Carotenoids	Cluster-31803.37067	Cluster-31803.37067	phytoene synthase [Auxenochlorella protothecoides]>gi|314991140|gb|ADT65126.1| phytoene synthase [Auxenochlorella protothecoides]	0	NA	0	NA
Fatty Acids	Cluster-1162.0	Cluster-1162.0	delta-4 fatty acid desaturase [Euglena gracilis]	0	NA	16.9315801108383	NA
Fatty Acids	Cluster-4031.0	Cluster-4031.0	long chain fatty acid elongase [Galdieria sulphuraria]>gi|452824291|gb|EME31295.1| long chain fatty acid elongase [Galdieria sulphuraria]	0	NA	19.6452661435507	NA
Fatty Acids	Cluster-495.0	Cluster-495.0	delta-4 fatty acid desaturase [Euglena gracilis]	0	NA	16.1457132737817	NA
Glycine betaine	Cluster-31803.38053	Cluster-31803.38053	"Betaine aldehyde dehydrogenase 1, chloroplastic [Auxenochlorella protothecoides]>gi|675352760|gb|KFM25200.1| Betaine aldehyde dehydrogenase 1, chloroplastic [Auxenochlorella protothecoides]"	0	NA	0	NA
Fatty Acids	Cluster-2640.0	Cluster-2640.0	stearoyl-CoA desaturase (delta-9 desaturase) [Galdieria sulphuraria]>gi|452825181|gb|EME32179.1| stearoyl-CoA desaturase (delta-9 desaturase) [Galdieria sulphuraria]	0	NA	17.4971735435089	NA
Fatty Acids	Cluster-792.0	Cluster-792.0	polyunsaturated fatty acid delta-5-desaturase [Marchantia polymorpha]	0	NA	0	NA
Fatty Acids	Cluster-12638.0	Cluster-12638.0	delta-12 desaturase [Spinacia oleracea]	0	NA	0	NA
Fatty Acids	Cluster-4032.0	Cluster-4032.0	delta-5 fatty acid desaturase [Pythium irregulare]	0	NA	17.609647687894	NA
Fatty Acids	Cluster-1904.0	Cluster-1904.0	polyunsaturated fatty acid desaturase [Chondrus crispus]>gi|507109819|emb|CDF33627.1| polyunsaturated fatty acid desaturase [Chondrus crispus]	0	NA	19.1456958620801	NA
Proline	Cluster-31803.114070	Cluster-31803.114070	1-pyrroline-5-carboxylate dehydrogenase [Cyanidioschyzon merolae strain 10D]>gi|449016293|dbj|BAM79695.1| 1-pyrroline-5-carboxylate dehydrogenase [Cyanidioschyzon merolae strain 10D]	0	NA	18.5545026674993	NA
Fatty Acids	Cluster-25684.0	Cluster-25684.0	delta-6 elongase [Pyramimonas cordata]	-0.00794873559752769	NA	0.3687215912605	NA
Proline	Cluster-24531.0	Cluster-24531.0	PREDICTED: delta-1-pyrroline-5-carboxylate synthase [Beta vulgaris subsp. vulgaris]	-0.0234588202395725	NA	0.689656342476555	NA
Fatty Acids	Cluster-15582.1	Cluster-15582.1	delta 6 desaturase [Lobosphaera incisa]	-0.0296599386749789	NA	-0.251338752944454	NA
Fatty Acids	Cluster-31803.8196	Cluster-31803.8196	omega-3 fatty acid desaturase [Chlamydomonas reinhardtii]	-0.065754312264312	NA	1.73410394195472	NA
Fatty Acids	Cluster-31803.35526	Cluster-31803.35526	plastid delta12 fatty acid desaturase [Chlorella vulgaris]	-0.0856288766053557	NA	0.143595165539958	NA
Fatty Acids	Cluster-29488.0	Cluster-29488.0	sterol desaturase [Guillardia theta CCMP2712]>gi|428184290|gb|EKX53146.1| sterol desaturase [Guillardia theta CCMP2712]	-0.169922997722855	NA	-0.125529424833068	NA
Fatty Acids	Cluster-31803.108022	Cluster-31803.108022	fatty acyl delta4 desaturase [Chlamydomonas reinhardtii]	-0.170985983246815	NA	1.49147477819373	NA
Carotenoids	Cluster-31803.58002	Cluster-31803.58002	"PREDICTED: zeta-carotene desaturase, chloroplastic/chromoplastic [Amborella trichopoda]>gi|548863017|gb|ERN20372.1| hypothetical protein AMTR_s00068p00029180 [Amborella trichopoda]"	-0.20626821592325	NA	-0.530250668787372	NA
Proline	Cluster-31803.14364	Cluster-31803.14364	"PREDICTED: proline dehydrogenase 2, mitochondrial-like [Nelumbo nucifera]"	-0.30202704425672	NA	1.74176208566775	NA
Fatty Acids	Cluster-19771.1	Cluster-19771.1	fatty acid elongase [Chondrus crispus]>gi|507111208|emb|CDF34939.1| fatty acid elongase [Chondrus crispus]	-0.354282172801578	NA	-1.25375014848177	NA
Fatty Acids	Cluster-21234.0	Cluster-21234.0	fatty acid elongase [Chondrus crispus]>gi|507111208|emb|CDF34939.1| fatty acid elongase [Chondrus crispus]	-0.439639100061325	NA	-0.546281551327295	NA
Carotenoids	Cluster-31803.42118	Cluster-31803.42118	zeta-carotene desaturase [Auxenochlorella protothecoides]>gi|313870542|gb|ADR82202.1| zeta-carotene desaturase [Auxenochlorella protothecoides]	-0.549029561607064	NA	0.573083617135326	NA
Proline	Cluster-23725.0	Cluster-23725.0	"PREDICTED: proline dehydrogenase 2, mitochondrial-like [Nicotiana tomentosiformis]"	-0.710490832595846	NA	-0.615334018130562	NA
Glycine betaine	Cluster-27025.0	Cluster-27025.0	"PREDICTED: choline monooxygenase, chloroplastic-like [Erythranthe guttatus]>gi|604298109|gb|EYU18197.1| hypothetical protein MIMGU_mgv1a006513mg [Erythranthe guttata]"	-0.724891179080483	NA	0.047696663179474	NA
Fatty Acids	Cluster-31803.83020	Cluster-31803.83020	omega-3 fatty acid desaturase [Chlorella vulgaris]	-0.840869836905716	NA	-0.01855581306158	NA
Fatty Acids	Cluster-28523.0	Cluster-28523.0	delta-4 fatty acid desaturase [Thraustochytrium sp. ATCC21685]	-2.51704201348405	NA	-2.33063130125124	NA
Fatty Acids	Cluster-31803.106992	Cluster-31803.106992	Stearoyl-CoA 9-desaturase [Paulinella chromatophora]>gi|171191850|gb|ACB42812.1| Stearoyl-CoA 9-desaturase [Paulinella chromatophora]	-3.24479659752759	NA	-0.341870863725344	NA
Gibberellin/GA3	Cluster-14518.0	Cluster-14518.0	PREDICTED: gibberellin 3-beta-dioxygenase 4 [Amborella trichopoda]>gi|548832240|gb|ERM95036.1| hypothetical protein AMTR_s00009p00242710 [Amborella trichopoda]	-15.7471702287672	NA	-15.7471702287672	NA
Glycine betaine	Cluster-25089.0	Cluster-25089.0	"PREDICTED: choline monooxygenase, chloroplastic-like isoform X2 [Beta vulgaris subsp. vulgaris]"	-16.6096549013151	NA	-1.51454638043857	NA
